종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000120,CJ대한통운,1,153523.0,153000,-0.28000000000000114
A000270,기아차,2,45006.5,89000,-0.9399999999999977
A000660,SK하이닉스,2,94264.0,189000,0.5100000000000051
A000720,현대건설,2,42506.0,85000,0.18999999999999773
A000810,삼성화재,5,250637.0,1259000,0.480000000000004
A001040,CJ,3,95980.6667,288000,0.06999999999999318
A003550,LG,5,74891.0,371000,-0.9200000000000017
A004990,롯데지주,2,38755.5,77000,0.4899999999999949
A005380,현대차,2,123268.0,247000,0.3299999999999983
A005490,POSCO,3,246870.0,736000,-0.6200000000000045
A005930,삼성전자,1,56108.0,55000,-0.45999999999999375
A005940,NH투자증권,22,13031.3637,287000,0.2600000000000051
A006800,미래에셋대우,12,7683.7692,92000,0.46999999999999886
A008770,호텔신라,3,85345.3333,257000,0.6200000000000045
A009150,삼성전기,2,119267.0,238000,-0.06999999999999318
A009540,한국조선해양,1,124818.0,125000,0.28000000000000114
A010130,고려아연,4,427563.75,1717000,0.4200000000000017
A010140,삼성중공업,42,7140.2857,298000,-0.4099999999999966
A010950,S-Oil,1,96047.3333,96000,0.9300000000000068
A012750,에스원,1,97014.0,95000,-1.9200000000000017
A016360,삼성증권,7,38441.1429,273000,1.7000000000000028
A017670,SK텔레콤,8,241348.5,1942000,0.6200000000000045
A023530,롯데쇼핑,1,137020.0,137000,0.09000000000000341
A024110,기업은행,16,12351.75,196000,-0.6800000000000068
A028050,삼성엔지니어링,5,19452.8,97000,-0.01999999999999602
A028260,삼성물산,1,108016.0,108000,0.18000000000000682
A030200,KT,13,27011.6923,353000,0.7999999999999972
A032640,LG유플러스,6,14402.0,87000,0.7600000000000051
A032830,삼성생명,5,76011.0,379000,-0.01999999999999602
A034220,LG디스플레이,6,16152.3333,96000,0.030000000000001137
A034730,SK,1,258038.0,257000,-0.09000000000000341
A035250,강원랜드,9,29971.0,268000,-0.5
A035720,카카오,3,151022.0,448000,-0.9399999999999977
A035760,CJ ENM,4,155356.25,616000,-0.8100000000000023
A036460,한국가스공사,7,38424.4761,267000,-0.45999999999999375
A047050,포스코인터내셔널,1,19452.0,19000,-1.0400000000000063
A051900,LG생활건강,4,1271190.25,5078000,-0.12000000000000455
A055550,신한지주,4,45556.5,180000,-0.7199999999999989
A066570,LG전자,4,72326.6667,289000,-0.030000000000001137
A067170,오텍,450,11101.6644,5004000,0.1700000000000017
A068270,셀트리온,1,181527.0,181000,0.0
A069500,KODEX 200,4,29133.0,118000,1.3499999999999943
A071050,한국금융지주,1,72010.0,72000,0.5499999999999972
A078930,GS,3,52007.0,157000,0.8700000000000045
A086280,현대글로비스,4,147146.75,590000,0.3100000000000023
A086790,하나금융지주,4,38530.5,153000,-0.20999999999999375
A090430,아모레퍼시픽,1,201530.0,200000,-0.28000000000000114
A096770,SK이노베이션,1,152522.0,153000,0.37999999999999545
A102110,TIGER 200,4,29143.0,118000,1.2999999999999972
A105560,KB금융,4,49307.0,195000,-0.7800000000000011
A128940,한미약품,1,300545.0,298000,-0.6099999999999994
A139480,이마트,5,131919.0,660000,0.1700000000000017
A153130,KODEX 단기채권,1,101590.0,101000,0.0
A157450,TIGER 단기통안채,2,101507.5,203000,0.0
A161390,한국타이어앤테크놀로지,2,34419.2857,68000,-0.3199999999999932
A207940,삼성바이오로직스,6,394308.8333,2372000,0.29000000000000625
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.0
A251270,넷마블,4,89863.0,355000,-1.0
A251350,KODEX 선진국MSCI World,1,15052.0,14000,-0.4899999999999949
A267250,현대중공업지주,1,356053.0,354000,-0.4200000000000017
A272580,TIGER 단기채권액티브,2,50812.0,101000,0.0
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,215000,-0.18999999999999773
A316140,우리금융지주,8,12051.75,95000,-0.6899999999999977
