종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000120,CJ대한통운,1,155523.0,152000,-2.200000000000003
A000660,SK하이닉스,1,95614.0,94000,-1.2199999999999989
A005935,삼성전자우,2,45606.5,90000,-0.28000000000000114
A006400,삼성SDI,1,233535.0,231000,-0.9200000000000017
A007070,GS리테일,6,39322.1667,232000,-1.3400000000000034
A009540,한국조선해양,1,126518.0,125000,-1.0699999999999932
A009830,한화케미칼,5,18702.8,92000,-1.3499999999999943
A010140,삼성중공업,13,7201.0769,93000,0.0
A011070,LG이노텍,1,140021.0,138000,-0.9899999999999949
A012750,에스원,1,94214.0,92000,-2.0799999999999983
A030200,KT,25,27085.96,665000,-1.6899999999999977
A034220,LG디스플레이,6,16352.3333,97000,-0.28000000000000114
A034730,SK,6,260705.3333,1543000,-1.2999999999999972
A035720,카카오,1,154023.0,152000,-1.25
A036570,엔씨소프트,2,540580.5,1079000,-0.18999999999999773
A047810,한국항공우주,2,34155.0,67000,-1.2999999999999972
A066570,LG전자,1,71810.0,70000,-1.3900000000000006
A088980,맥쿼리인프라,24,11801.7083,278000,-1.5499999999999972
A153130,KODEX 단기채권,1,101590.0,101000,0.04000000000000625
A157450,TIGER 단기통안채,2,101507.5,200000,-1.4699999999999989
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.060000000000002274
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.5699999999999932
A272580,TIGER 단기채권액티브,2,50812.0,100000,-1.5600000000000023
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,0.030000000000001137
