종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A007070,GS리테일,6,39322.1667,233000,-1.0799999999999983
A030200,KT,25,27085.96,663000,-2.049999999999997
A034730,SK,6,260705.3333,1534000,-1.8700000000000045
A035720,카카오,1,154023.0,152000,-1.25
A047810,한국항공우주,2,34155.0,67000,-0.8599999999999994
A066570,LG전자,1,71810.0,70000,-1.25
A088980,맥쿼리인프라,24,11801.7083,278000,-1.5499999999999972
A153130,KODEX 단기채권,1,101590.0,101000,0.04999999999999716
A157450,TIGER 단기통안채,2,101507.5,200000,-1.4699999999999989
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.0799999999999983
A272580,TIGER 단기채권액티브,2,50812.0,100000,-1.5400000000000063
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,217000,0.35999999999999943
