0,1,2
A005930,삼성전자,53300
A000660,SK하이닉스,83400
A005935,삼성전자우,43600
A035420,NAVER,175500
A207940,삼성바이오로직스,390000
A005380,현대차,120000
A012330,현대모비스,259500
A051910,LG화학,300500
A068270,셀트리온,171000
A055550,신한지주,44200
A005490,POSCO,235500
A105560,KB금융,48350
A051900,LG생활건강,1277000
A028260,삼성물산,102500
A034730,SK,259500
A000270,기아차,45000
A006400,삼성SDI,228500
A018260,삼성에스디에스,196500
A032830,삼성생명,74600
A096770,SK이노베이션,147500
A033780,KT&G,95900
A003550,LG,75400
A035720,카카오,149500
A066570,LG전자,71700
A000810,삼성화재,249500
A090430,아모레퍼시픽,194500
A086790,하나금융지주,37600
A010950,S-Oil,92700
A009150,삼성전기,120000
A009540,한국조선해양,123000
A316140,우리금융지주,11800
A010130,고려아연,423500
A251270,넷마블,89200
A011170,롯데케미칼,221000
A030200,KT,26900
A069500,KODEX 200,28605
A024110,기업은행,12100
A021240,웅진코웨이,89400
A091990,셀트리온헬스케어,48400
A002790,아모레G,78800
A035250,강원랜드,30000
A032640,LG유플러스,13900
A018880,한온시스템,11100
A034220,LG디스플레이,16050
A267250,현대중공업지주,342000
A086280,현대글로비스,147000
A006800,미래에셋대우,7460
A000720,현대건설,43550
A078930,GS,50400
A029780,삼성카드,39550
A010140,삼성중공업,7120
A028300,에이치엘비,99500
A088980,맥쿼리인프라,12100
A004020,현대제철,31600
A271560,오리온,105000
A161390,한국타이어앤테크놀로지,33800
A005830,DB손해보험,59500
A071050,한국금융지주,70100
A097950,CJ제일제당,252000
A028050,삼성엔지니어링,19500
A012750,에스원,98200
A023530,롯데쇼핑,130000
A004990,롯데지주,35350
A139480,이마트,130500
A102110,TIGER 200,28635
A036460,한국가스공사,37750
A005940,NH투자증권,12750
A047810,한국항공우주,34750
A128940,한미약품,294500
A035760,CJ ENM,151900
A016360,삼성증권,37400
A241560,두산밥캣,33900
A008770,호텔신라,83900
A081660,휠라코리아,52700
A011070,LG이노텍,134500
A000210,대림산업,90500
A042660,대우조선해양,27750
A005387,현대차2우B,81700
A000100,유한양행,236000
A007070,GS리테일,37500
A003670,포스코케미칼,48200
A009830,한화케미칼,18100
A004170,신세계,294500
A001040,CJ,96000
A282330,BGF리테일,159000
A003410,쌍용양회,5430
A003490,대한항공,26900
A006360,GS건설,31500
A001450,현대해상,28950
A263750,펄어비스,192500
A138930,BNK금융지주,7600
A180640,한진칼,40750
A047050,포스코인터내셔널,19400
A008930,한미사이언스,36550
A079440,오렌지라이프,28900
A028670,팬오션,4370
A002380,KCC,218000
A122630,KODEX 레버리지,13265
A008560,메리츠종금증권,3735
A011780,금호석유,76300
A253450,스튜디오드래곤,77600
A012510,더존비즈온,74200
A000060,메리츠화재,18650
A153130,KODEX 단기채권,101585
A273130,KODEX 종합채권(AA-이상)액티브,108140
A315930,KODEX Top5PlusTR,13545
A278540,KODEX MSCI Korea TR,8925
A292150,TIGER TOP10,8890
A233740,KODEX 코스닥150 레버리지,7630
A278530,KODEX 200TR,9000
A102780,KODEX 삼성그룹,6710
A310970,TIGER MSCI Korea TR,11230
A157450,TIGER 단기통안채,101500
A214980,KODEX 단기채권PLUS,101660
A229200,KODEX 코스닥 150,9640
A226490,KODEX 코스피,21525
A272580,TIGER 단기채권액티브,50810
A232080,TIGER 코스닥150,9710
A139260,TIGER 200 IT,22020
