0,1,2,3
A005930,삼성전자,0,56000
A000660,SK하이닉스,1,95000
A035420,NAVER,3,183500
A207940,삼성바이오로직스,4,396500
A005380,현대차,5,124000
A012330,현대모비스,6,262000
A068270,셀트리온,7,182000
A055550,신한지주,8,45350
A051910,LG화학,9,314500
A005490,POSCO,10,246000
A105560,KB금융,11,49050
A028260,삼성물산,12,108500
A051900,LG생활건강,13,1273000
A017670,SK텔레콤,14,243500
A034730,SK,15,258500
A000270,기아차,16,44700
A015760,한국전력,17,28000
A006400,삼성SDI,18,228500
A018260,삼성에스디에스,19,197000
A032830,삼성생명,20,76200
A096770,SK이노베이션,21,153500
A033780,KT&G,22,96900
A003550,LG,24,74400
A000810,삼성화재,25,252500
A066570,LG전자,26,72500
A036570,엔씨소프트,27,539000
A086790,하나금융지주,28,38550
A090430,아모레퍼시픽,29,201500
A010950,S-Oil,30,97200
A009150,삼성전기,31,119500
A009540,한국조선해양,32,125500
A316140,우리금융지주,33,12000
A010130,고려아연,34,430500
A011170,롯데케미칼,35,234500
A024110,기업은행,38,12300
A030200,KT,39,27300
A091990,셀트리온헬스케어,40,53700
A002790,아모레G,41,84000
A032640,LG유플러스,44,14550
A018880,한온시스템,45,11350
A034220,LG디스플레이,46,16200
A086280,현대글로비스,47,148000
A267250,현대중공업지주,48,355500
A006800,미래에셋대우,49,7740
A000720,현대건설,50,42700
A078930,GS,51,52600
A029780,삼성카드,52,40550
A010140,삼성중공업,53,7130
A004020,현대제철,54,32350
A271560,오리온,55,105000
A161390,한국타이어앤테크놀로지,56,34400
A028300,에이치엘비,58,102200
A071050,한국금융지주,60,72600
A028050,삼성엔지니어링,61,19500
A097950,CJ제일제당,62,241500
A023530,롯데쇼핑,63,137500
A004990,롯데지주,64,39050
A012750,에스원,65,95400
A139480,이마트,66,132500
A005940,NH투자증권,67,13100
A036460,한국가스공사,69,38350
A000120,CJ대한통운,70,153500
A128940,한미약품,71,299500
A241560,두산밥캣,72,35450
A016360,삼성증권,73,39200
A047810,한국항공우주,74,34350
A008770,호텔신라,76,86100
A081660,휠라코리아,77,52700
A000210,대림산업,78,91600
A011070,LG이노텍,79,136000
A009830,한화케미칼,81,19200
A042660,대우조선해양,82,27650
A000100,유한양행,83,241500
A005387,현대차2우B,84,82700
A007070,GS리테일,85,38800
A030000,제일기획,87,24550
A003410,쌍용양회,88,5680
A001040,CJ,89,96300
A282330,BGF리테일,90,163000
A003490,대한항공,92,27800
A138930,BNK금융지주,93,7890
A006360,GS건설,94,31750
A263750,펄어비스,95,184800
A079440,오렌지라이프,97,29500
A008930,한미사이언스,98,38000
