날짜 시간 시가 고가 저가 종가 거래량
20190102 1001 32950 32950 32800 32800 4500
20190102 1002 32800 32850 32800 32850 1173
20190102 1003 32850 32850 32850 32850 46
20190102 1004 32850 32900 32850 32850 42
20190102 1005 32900 32900 32850 32900 120
20190102 1006 32850 32900 32850 32850 130
20190102 1007 32850 32850 32750 32750 2120
20190102 1008 32750 32800 32750 32750 408
20190102 1009 32750 32800 32750 32750 427
20190102 1010 32750 32800 32750 32750 1713
20190102 1011 32800 32800 32750 32750 953
20190102 1012 32750 32800 32750 32750 396
20190102 1013 32750 32850 32750 32800 331
20190102 1014 32800 32850 32750 32750 396
20190102 1015 32750 32800 32750 32750 94
20190102 1016 32750 32800 32700 32700 2264
20190102 1017 32750 32800 32700 32800 345
20190102 1018 32750 32750 32700 32700 1811
20190102 1019 32700 32750 32700 32700 257
20190102 1020 32750 32750 32700 32700 160
20190102 1021 32700 32750 32700 32700 164
20190102 1022 32700 32750 32700 32700 92
20190102 1023 32700 32700 32700 32700 573
20190102 1024 32750 32750 32700 32700 158
20190102 1025 32750 32750 32700 32700 770
20190102 1026 32750 32750 32650 32700 1587
20190102 1027 32650 32700 32650 32650 290
20190102 1028 32650 32700 32650 32700 280
20190102 1029 32700 32750 32650 32700 1148
20190102 1030 32650 32700 32650 32650 132
20190102 1031 32650 32700 32650 32650 503
20190102 1032 32650 32700 32650 32650 1033
20190102 1033 32650 32700 32650 32650 86
20190102 1034 32650 32700 32650 32700 630
20190102 1035 32650 32700 32650 32700 114
20190102 1036 32700 32700 32600 32650 896
20190102 1037 32600 32650 32600 32650 293
20190102 1038 32600 32600 32600 32600 25
20190102 1039 32600 32650 32600 32650 2746
20190102 1040 32600 32700 32600 32650 536
20190102 1041 32650 32650 32600 32600 77
20190102 1042 32600 32700 32600 32650 1167
20190102 1043 32650 32700 32650 32650 275
20190102 1044 32650 32700 32650 32650 481
20190102 1045 32650 32700 32650 32650 125
20190102 1046 32650 32700 32600 32600 1558
20190102 1047 32600 32650 32600 32600 158
20190102 1048 32600 32700 32600 32650 1708
20190102 1049 32700 32700 32650 32650 971
20190102 1050 32650 32650 32600 32600 519
20190102 1051 32600 32650 32600 32600 96
20190102 1052 32600 32650 32600 32600 425
20190102 1053 32600 32650 32600 32600 893
20190102 1054 32600 32650 32600 32600 1691
20190102 1055 32600 32650 32600 32600 2177
20190102 1056 32550 32650 32550 32600 4449
20190102 1057 32600 32600 32550 32550 885
20190102 1058 32550 32600 32550 32600 1054
20190102 1059 32550 32600 32550 32600 287
20190102 1100 32600 32650 32600 32600 240
20190102 1101 32600 32600 32500 32500 3888
20190102 1102 32500 32500 32450 32450 2156
20190102 1103 32450 32500 32450 32500 410
20190102 1104 32500 32500 32450 32500 917
20190102 1105 32450 32500 32400 32400 2324
20190102 1106 32400 32450 32400 32400 145
20190102 1107 32400 32450 32400 32450 987
20190102 1108 32450 32450 32400 32400 1450
20190102 1109 32400 32450 32400 32400 281
20190102 1110 32400 32400 32350 32350 1051
20190102 1111 32350 32400 32350 32350 305
20190102 1112 32350 32400 32350 32400 387
20190102 1113 32350 32400 32350 32350 476
20190102 1114 32350 32400 32350 32350 330
20190102 1115 32350 32350 32300 32300 1797
20190102 1116 32300 32350 32250 32300 1663
20190102 1117 32300 32350 32300 32300 473
20190102 1118 32300 32300 32250 32250 1145
20190102 1119 32250 32300 32250 32250 358
20190102 1120 32300 32300 32250 32300 682
20190102 1121 32300 32350 32250 32250 191
20190102 1122 32250 32300 32250 32250 382
20190102 1123 32250 32300 32250 32300 1689
20190102 1124 32250 32300 32250 32250 823
20190102 1125 32250 32300 32200 32250 609
20190102 1126 32250 32300 32250 32300 267
20190102 1127 32250 32300 32250 32250 380
20190102 1128 32250 32300 32250 32250 589
20190102 1129 32250 32250 32200 32200 1970
20190102 1130 32200 32250 32150 32200 3456
20190102 1131 32200 32250 32200 32250 771
20190102 1132 32250 32250 32200 32200 479
20190102 1133 32200 32250 32150 32200 1580
20190102 1134 32200 32350 32200 32300 1823
20190102 1135 32300 32300 32250 32300 793
20190102 1136 32250 32300 32250 32300 572
20190102 1137 32300 32350 32250 32250 319
20190102 1138 32300 32300 32250 32300 99
20190102 1139 32250 32300 32250 32250 233
20190102 1140 32250 32400 32250 32400 1255
20190102 1141 32400 32400 32300 32300 803
20190102 1142 32350 32400 32300 32350 277
20190102 1143 32400 32450 32400 32400 340
20190102 1144 32400 32450 32350 32400 419
20190102 1145 32350 32400 32300 32350 502
20190102 1146 32400 32400 32350 32400 33
20190102 1147 32350 32400 32350 32350 117
20190102 1148 32400 32400 32350 32400 397
20190102 1149 32400 32400 32350 32400 121
20190102 1150 32400 32400 32300 32350 851
20190102 1151 32350 32400 32300 32400 611
20190102 1152 32400 32450 32350 32350 853
20190102 1153 32400 32400 32350 32400 53
20190102 1154 32350 32400 32350 32400 403
20190102 1155 32400 32400 32300 32350 1003
20190102 1156 32350 32350 32300 32350 490
20190102 1157 32350 32400 32350 32350 389
20190102 1158 32350 32400 32350 32400 85
20190102 1159 32350 32400 32250 32250 1266
20190102 1200 32250 32300 32250 32300 461
20190102 1201 32300 32300 32250 32300 119
20190102 1202 32250 32300 32250 32250 72
20190102 1203 32250 32300 32200 32200 1475
20190102 1204 32250 32250 32150 32200 1834
20190102 1205 32150 32200 32150 32200 95
20190102 1206 32200 32200 32150 32200 2079
20190102 1207 32150 32200 32150 32150 170
20190102 1208 32200 32200 32100 32200 2142
20190102 1209 32150 32200 32150 32150 1620
20190102 1210 32150 32200 32150 32200 392
20190102 1211 32200 32200 32150 32200 290
20190102 1212 32200 32200 32150 32150 246
20190102 1213 32200 32200 32100 32150 9528
20190102 1214 32150 32150 32050 32100 386
20190102 1215 32100 32150 32100 32100 353
20190102 1216 32100 32150 32100 32100 1137
20190102 1217 32150 32150 32100 32150 83
20190102 1218 32150 32200 32150 32150 1231
20190102 1219 32200 32250 32150 32200 593
20190102 1220 32200 32250 32150 32250 78
20190102 1221 32200 32250 32150 32200 409
20190102 1222 32200 32200 32150 32200 263
20190102 1223 32200 32200 32150 32150 207
20190102 1224 32150 32200 32150 32150 738
20190102 1225 32100 32200 32100 32150 605
20190102 1226 32150 32200 32100 32150 561
20190102 1227 32150 32200 32150 32200 208
20190102 1228 32200 32250 32200 32200 1218
20190102 1229 32250 32250 32200 32200 226
20190102 1230 32200 32250 32200 32250 219
20190102 1231 32250 32250 32200 32250 385
20190102 1232 32250 32250 32200 32200 260
20190102 1233 32250 32350 32250 32350 1075
20190102 1234 32300 32350 32300 32350 1141
20190102 1235 32400 32400 32350 32350 93
20190102 1236 32400 32400 32300 32400 237
20190102 1237 32350 32400 32350 32400 376
20190102 1238 32350 32400 32350 32350 168
20190102 1239 32350 32350 32350 32350 26
