date,time,open,high,low,close,vol
20190315,0,37650,38000,37150,37850,1700180
20190314,0,38150,38200,37700,38000,1055714
20190313,0,38000,38200,37250,37550,640622
20190312,0,37750,38200,37400,37950,367981
20190311,0,37200,38150,37000,37750,847824
20190308,0,37600,37600,36550,36800,919642
20190307,0,38750,38750,37550,37700,731534
20190306,0,38350,38550,37550,38400,940941
20190305,0,38300,38750,37950,38000,790544
20190304,0,39250,39250,37800,38150,1415556
20190228,0,38700,39250,38550,38850,1585025
20190227,0,38550,38850,38000,38500,910243
20190226,0,39100,39450,38650,38950,868930
20190225,0,39450,39700,39150,39500,461063
20190222,0,39800,39850,39100,39500,794748
20190221,0,39500,39850,39200,39700,675521
20190220,0,39250,39650,39050,39600,988695
20190219,0,39600,39950,39300,39500,773012
20190218,0,39650,39850,39500,39800,750676
20190215,0,40100,40300,39500,39700,889968
20190214,0,40750,40850,40000,40500,1294796
20190213,0,39500,40650,39500,40550,1202609
20190212,0,39750,40150,39500,39750,1201997
20190211,0,40650,40650,39500,40200,1132940
20190208,0,40100,40750,40000,40350,1303643
20190207,0,40400,40550,39550,40300,1141861
20190201,0,40200,41750,39750,40100,2525908
20190131,0,38900,40550,38850,39950,2060088
20190130,0,38350,38500,37950,38500,975177
20190129,0,38650,38650,37950,38400,819523
20190128,0,38350,38550,38000,38100,692422
20190125,0,38100,38500,37750,38350,950356
20190124,0,37300,38450,37250,38300,1056042
20190123,0,37750,37950,36950,37500,758776
20190122,0,37550,37950,37550,37650,448828
20190121,0,38200,38200,37500,37800,602569
20190118,0,38650,38650,37700,38050,831502
20190117,0,38200,38650,37700,38400,897666
20190116,0,36850,38000,36800,37950,1091823
20190115,0,34950,36800,34950,36800,1276452
20190114,0,35850,35900,34900,35100,778230
20190111,0,35650,35950,35500,35650,813522
20190110,0,35200,35400,35050,35400,1346208
20190109,0,35000,35650,34950,35550,894456
20190108,0,35000,35250,34750,34750,699641
20190107,0,35400,35550,34800,34850,648441
20190104,0,35500,35700,35050,35050,871810
20190103,0,36050,36250,35450,35550,767093
20190102,0,36450,36700,36000,36150,567892
20181228,0,35850,36300,35700,36250,656104
20181227,0,36550,36600,35450,35700,1074830
20181226,0,37750,37750,37050,37300,800956
20181224,0,38000,38200,37550,38000,451167
20181221,0,37800,38050,37350,38050,910704
20181220,0,37550,38050,37450,37800,568917
20181219,0,37950,38250,37500,37600,741299
20181218,0,37350,37950,37200,37950,778513
20181217,0,37250,37900,37050,37400,840783
20181214,0,37350,37750,36950,37250,851632
20181213,0,37150,37300,36800,37150,1808585
20181212,0,36250,37000,36200,37000,1408747
20181211,0,36050,36350,35500,35950,1136817
20181210,0,36500,36550,35800,36350,1100762
20181207,0,36200,36650,35900,36650,970706
20181206,0,36450,36700,36050,36400,1016389
20181205,0,36150,36500,35800,36450,1112171
20181204,0,37150,37200,36450,36650,1928375
20181203,0,38000,38100,37100,37150,2051608
20181130,0,38650,38650,37400,37600,1935453
20181129,0,39350,39350,38650,38700,879955
20181128,0,39500,39550,38450,38750,1024527
20181127,0,38700,39600,38600,39500,941655
20181126,0,38550,38700,38200,38700,557591
20181123,0,38900,39000,38100,38300,381169
20181122,0,38650,38850,38250,38850,362494
20181121,0,38350,38900,37950,38650,623943
20181120,0,38600,38900,38450,38600,628717
20181119,0,38700,38900,38450,38650,579429
20181116,0,38800,38800,38150,38700,833820
20181115,0,37950,38800,37950,38700,724578
20181114,0,38150,38350,37800,38100,783100
20181113,0,37800,38250,37500,38250,976467
20181112,0,37950,38500,37800,38300,792880
20181109,0,38300,39050,38150,38300,1336020
20181108,0,39000,39300,38250,38250,1687071
20181107,0,38750,39100,38150,38150,1030670
20181106,0,38750,39100,38350,38550,1077338
20181105,0,38600,39050,38000,38400,1835825
20181102,0,38500,39550,38200,39450,1385784
20181101,0,38800,39250,38050,38150,1147254
20181031,0,38300,39200,37350,38300,1621513
20181030,0,40650,40650,38450,38550,1520453
20181029,0,41000,41250,40450,40500,1433942
20181026,0,41150,42050,40100,40600,1559843
20181025,0,42350,42400,40900,41000,5334364
20181024,0,43500,43650,42450,43200,1175914
20181023,0,44100,44100,42550,42950,680625
20181022,0,42600,44500,42600,44150,574879
20181019,0,42850,43150,42500,42900,604160
20181018,0,43300,44000,42750,42900,683950
20181017,0,43850,44400,43450,43600,505709
20181016,0,43700,44400,43150,43250,638390
20181015,0,42650,43500,42450,43100,781328
20181012,0,44200,44250,41750,42600,1341500
20181011,0,44750,45850,42850,43200,1823297
20181010,0,46800,46800,45300,45850,1367185
20181008,0,46700,46950,45800,46150,714871
20181005,0,47050,47400,45800,46400,1331395
20181004,0,46000,47150,45500,46150,1574898
20181002,0,45250,46500,45250,45600,669723
20181001,0,44900,46000,44500,45750,1051605
20180928,0,43650,44600,43350,44550,1199270
20180927,0,43650,43850,43000,43400,1286902
20180921,0,43650,44100,43400,43750,1151053
20180920,0,42200,43450,42000,43200,898123
20180919,0,42050,42200,41750,41900,639851
20180918,0,42900,43000,41900,42050,1368656
20180917,0,42800,43200,42500,42650,508349
20180914,0,43400,43550,43050,43100,713208
20180913,0,42650,43800,42250,43800,1422479
20180912,0,42200,42500,42050,42500,598204
20180911,0,41800,42250,41750,42200,664734
20180910,0,41700,42250,41650,41900,647898
20180907,0,42400,42450,41550,41850,919771
20180906,0,42250,42500,41850,41850,649042
20180905,0,43050,43050,42350,42400,634798
20180904,0,42650,43100,42400,42950,399790
20180903,0,42700,42800,42450,42750,470596
20180831,0,42550,42900,42350,42700,873855
20180830,0,43700,43750,42550,42700,802336
20180829,0,43450,44050,43450,43900,557002
20180828,0,43300,44250,43150,43900,804808
20180827,0,42850,43300,42600,43300,558681
20180824,0,42450,42900,42050,42650,656368
20180823,0,43050,43100,42350,42450,653477
20180822,0,43600,43750,42900,42950,601997
20180821,0,43700,44200,43400,43750,523476
20180820,0,43950,44150,43300,44150,607942
20180817,0,43050,43650,42600,43550,491248
20180816,0,42950,43500,42750,43200,710066
20180814,0,43000,43550,42400,43500,594625
20180813,0,42900,43250,42350,42650,625939
20180810,0,43300,43800,43000,43250,1029209
20180809,0,44500,44500,43200,43600,1303396
20180808,0,44050,45100,44050,44450,854053
20180807,0,43550,44150,43550,43850,592797
20180806,0,43600,44250,43450,44100,512686
20180803,0,43950,44200,43100,43900,754408
20180802,0,45150,45300,43700,43900,881115
20180801,0,45050,45350,44750,45000,693387
20180731,0,44400,45300,44400,44900,1119626
20180730,0,44550,45550,44350,45050,963493
20180727,0,44200,45400,44000,45400,933750
20180726,0,45550,45550,44250,44350,919132
20180725,0,44550,45250,44050,45200,1061953
20180724,0,43600,44450,43050,44250,1028804
20180723,0,42700,43750,42500,43650,1376274
20180720,0,42350,42450,41700,42250,786026
20180719,0,43500,43550,42400,42400,558232
20180718,0,43650,43850,43200,43250,461311
20180717,0,43100,44100,42800,43950,707686
20180716,0,43400,43950,42750,43050,810540
20180713,0,42750,44300,42750,43950,737302
20180712,0,43600,43600,42400,42400,918649
20180711,0,42200,43400,41700,43250,827030
20180710,0,44100,44550,42950,42950,715446
20180709,0,42650,44100,42500,43750,907465
20180706,0,41350,42950,41350,42650,988779
20180705,0,41350,42250,41050,41500,863698
20180704,0,41250,41800,41000,41450,792768
20180703,0,42900,42900,41050,41350,1270370
20180702,0,43250,44700,42700,42700,1141663
20180629,0,42900,43350,42500,42850,819432
20180628,0,43400,43750,42550,42550,995275
20180627,0,43400,44500,43350,43950,615310
20180626,0,43700,44200,43100,43750,599649
20180625,0,43150,44100,42950,43850,583157
20180622,0,42300,43350,41900,43250,826804
20180621,0,43950,44200,42550,42700,1188473
20180620,0,43950,45150,43950,44550,915914
20180619,0,44300,44900,43650,43900,773920
20180618,0,44300,45400,44250,44900,789629
20180615,0,45200,45200,43300,44000,1280639
20180614,0,46500,46500,44600,45200,1760954
20180612,0,46250,46700,45600,45950,550680
20180611,0,45200,46250,45100,46250,724268
20180608,0,45500,46300,45500,45800,606436
20180607,0,45500,46300,44650,46000,1536068
