날짜 시간 시가 고가 저가 종가 거래량
20190801 901 168000 169500 168000 169500 3384
20190801 902 169500 170000 169000 170000 666
20190801 903 170000 170000 168500 168500 733
20190801 904 169000 170000 169000 169000 1038
20190801 905 170000 170000 169000 169000 512
20190801 906 169500 169500 169000 169000 346
20190801 907 169500 169500 169000 169000 667
20190801 908 169500 169500 169000 169500 200
20190801 909 169500 169500 169000 169000 142
20190801 910 169000 169500 169000 169000 72
20190801 911 169000 169500 169000 169500 41
20190801 912 169500 169500 169000 169500 38
20190801 913 169500 169500 169000 169000 140
20190801 914 169500 169500 169500 169500 7
20190801 915 169500 169500 169000 169000 52
20190801 916 169500 169500 169000 169500 63
20190801 917 169500 169500 169000 169500 43
20190801 918 169500 169500 169000 169500 76
20190801 919 169500 169500 169000 169500 116
20190801 920 169500 169500 169000 169500 58
20190801 921 169500 169500 169000 169500 102
20190801 922 169000 169500 169000 169500 140
20190801 923 169000 169500 169000 169500 79
20190801 924 169500 169500 169000 169500 552
20190801 925 169500 169500 169000 169000 38
20190801 926 169500 169500 169500 169500 44
20190801 927 169000 169500 169000 169500 22
20190801 928 169500 169500 169000 169500 100
20190801 929 169000 169500 169000 169000 105
20190801 930 169500 169500 169000 169500 202
20190801 931 169500 169500 169000 169000 1308
20190801 932 169500 169500 169000 169500 547
20190801 933 169500 169500 169000 169500 64
20190801 934 169500 169500 169000 169500 13
20190801 935 169000 169500 169000 169000 97
20190801 936 169000 169500 169000 169000 116
20190801 937 169000 169500 169000 169500 201
20190801 938 169000 169500 169000 169000 80
20190801 939 169000 169500 169000 169000 1091
20190801 940 169000 169000 168500 168500 613
20190801 941 168500 169000 168500 168500 105
20190801 942 168500 169000 168500 168500 115
20190801 943 168500 169000 168500 168500 89
20190801 944 168500 169000 168500 168500 57
20190801 945 168500 169000 168500 169000 235
20190801 946 168500 169000 168500 168500 147
20190801 947 168500 169000 168500 168500 111
20190801 948 168500 169000 168500 169000 99
20190801 949 168500 169000 168500 168500 327
20190801 950 168500 169000 168500 168500 192
20190801 951 168500 169000 168500 168500 96
20190801 952 168500 169000 168500 168500 86
