날짜 시간 시가 고가 저가 종가 거래량
20200803 901 52100 52100 52100 52100 21
20200803 902 52100 52100 52100 52100 53
20200803 903 52000 52200 52000 52200 106
20200803 905 52000 52000 52000 52000 32
20200803 906 52000 52000 52000 52000 56
20200803 907 52000 52000 52000 52000 19
20200803 908 52000 52000 52000 52000 80
20200803 909 52000 52000 52000 52000 4
20200803 910 52000 52000 51800 51800 559
20200803 912 51900 51900 51900 51900 50
20200803 913 51900 51900 51900 51900 35
20200803 915 52000 52000 52000 52000 5
20200803 916 52000 52000 52000 52000 2
20200803 917 51900 52000 51900 52000 45
20200803 918 52000 52000 52000 52000 8
20200803 920 52000 52000 52000 52000 3
20200803 923 51900 51900 51900 51900 28
20200803 924 51900 51900 51900 51900 17
20200803 925 51900 51900 51900 51900 20
20200803 926 51900 51900 51900 51900 30
20200803 930 51900 51900 51900 51900 1
20200803 931 51900 51900 51900 51900 15
20200803 934 51900 51900 51900 51900 15
20200803 936 51800 51900 51800 51900 254
20200803 937 51900 51900 51900 51900 70
20200803 938 51800 51800 51800 51800 250
20200803 939 51800 51800 51800 51800 31
20200803 940 51800 51800 51800 51800 30
20200803 941 51800 51800 51800 51800 1
20200803 942 51800 51800 51800 51800 1
20200803 943 51700 51700 51700 51700 15
20200803 945 51900 51900 51900 51900 11
20200803 948 51800 51800 51700 51700 176
20200803 949 51700 51700 51700 51700 210
20200803 952 51800 51800 51800 51800 5
20200803 957 51800 51800 51800 51800 47
20200803 959 51900 51900 51900 51900 50
20200803 1000 51900 51900 51900 51900 1
20200803 1001 51900 51900 51900 51900 9
20200803 1004 51900 51900 51900 51900 15
20200803 1006 51900 51900 51900 51900 21
20200803 1007 51900 51900 51800 51800 125
20200803 1008 51800 51800 51800 51800 2
20200803 1012 51800 51800 51800 51800 2
20200803 1013 51800 51800 51800 51800 88
20200803 1015 52000 52000 51800 51800 37
20200803 1022 51900 51900 51900 51900 7
20200803 1030 51900 51900 51900 51900 5
20200803 1031 52000 52000 52000 52000 3
20200803 1033 52000 52000 52000 52000 41
20200803 1034 51900 51900 51900 51900 60
20200803 1038 52000 52000 52000 52000 191
20200803 1039 52000 52000 52000 52000 3
20200803 1045 52000 52000 52000 52000 3
20200803 1053 52000 52000 52000 52000 31
20200803 1054 52000 52000 52000 52000 30
20200803 1056 52000 52000 52000 52000 3
20200803 1059 51900 51900 51900 51900 73
20200803 1100 51900 51900 51900 51900 43
20200803 1103 52000 52000 52000 52000 6
20200803 1104 51900 51900 51900 51900 20
20200803 1109 51900 51900 51900 51900 50
20200803 1113 52000 52000 51900 51900 56
20200803 1117 51900 51900 51900 51900 1
20200803 1122 52000 52000 52000 52000 5
20200803 1126 52000 52000 52000 52000 60
20200803 1130 52000 52000 52000 52000 77
20200803 1136 52000 52000 52000 52000 96
20200803 1138 52000 52000 52000 52000 13
20200803 1142 52000 52000 52000 52000 50
20200803 1144 52000 52000 52000 52000 109
20200803 1149 52100 52200 52100 52200 21
20200803 1152 52200 52200 52200 52200 5
20200803 1157 52100 52100 52000 52000 100
20200803 1202 52100 52100 52000 52000 105
20200803 1208 52000 52000 52000 52000 20
20200803 1217 52000 52000 52000 52000 10
20200803 1219 52000 52000 52000 52000 2
20200803 1225 52000 52000 52000 52000 202
20200803 1226 52000 52000 52000 52000 10
20200803 1227 52200 52200 52200 52200 1
20200803 1228 52200 52200 52200 52200 24
20200803 1230 52100 52100 52100 52100 10
20200803 1231 52000 52000 52000 52000 4
20200803 1232 52000 52000 52000 52000 20
20200803 1235 52100 52100 52100 52100 2
20200803 1238 52100 52100 52100 52100 22
20200803 1239 52100 52100 52100 52100 20
20200803 1240 52100 52100 52100 52100 56
20200803 1241 52100 52100 52100 52100 20
20200803 1242 52000 52000 52000 52000 38
20200803 1244 52000 52000 52000 52000 87
20200803 1245 52000 52000 52000 52000 20
20200803 1255 52100 52100 52100 52100 4
20200803 1258 52100 52100 52100 52100 13
20200803 1307 52100 52100 52000 52000 26
20200803 1308 52000 52200 52000 52000 154
