날짜 시간 시가 고가 저가 종가 거래량
20200901 901 19850 19850 19850 19850 9
20200901 904 19700 19700 19700 19700 1
20200901 906 19700 19750 19700 19700 65
20200901 907 19700 19700 19700 19700 10
20200901 908 19500 19500 19500 19500 85
20200901 909 19500 19650 19400 19650 542
20200901 910 19650 19800 19650 19800 199
20200901 911 19800 20000 19800 19950 1130
20200901 912 20000 20050 19800 19800 591
20200901 913 20000 20000 19650 19950 123
20200901 914 19800 19900 19750 19900 954
20200901 915 19900 19950 19900 19900 304
20200901 916 19900 19900 19900 19900 74
20200901 917 19800 19900 19750 19750 241
20200901 918 19900 19900 19900 19900 239
20200901 919 19900 19950 19900 19950 19
20200901 920 19950 19950 19950 19950 175
20200901 921 19950 20000 19950 20000 696
20200901 922 20000 20000 20000 20000 528
20200901 923 20000 20000 20000 20000 55
20200901 924 20050 20150 20050 20150 663
20200901 925 20150 20150 20100 20100 636
20200901 926 20150 20150 20100 20150 1821
20200901 927 20100 20100 20000 20000 290
20200901 928 19900 19900 19900 19900 15
20200901 929 19900 20000 19900 20000 107
20200901 931 20000 20000 19800 19800 275
20200901 932 19800 19800 19800 19800 10
20200901 933 19850 19850 19850 19850 3
20200901 934 19850 19850 19850 19850 1
20200901 935 19850 19850 19850 19850 12
20200901 938 19850 19850 19850 19850 53
20200901 940 20000 20000 20000 20000 1
20200901 941 20000 20000 20000 20000 71
20200901 942 20000 20000 20000 20000 400
20200901 943 19850 20000 19850 20000 51
20200901 944 20000 20000 20000 20000 2
20200901 945 20000 20150 20000 20150 2017
20200901 946 20150 20200 20050 20100 390
20200901 947 20050 20100 20050 20050 281
20200901 948 20100 20100 20100 20100 170
20200901 949 20100 20100 20100 20100 5
20200901 950 20100 20100 20100 20100 212
20200901 951 20100 20100 20100 20100 10
20200901 952 20100 20100 20050 20050 260
20200901 953 20000 20000 20000 20000 183
20200901 954 20000 20050 20000 20050 1103
20200901 955 20050 20100 20050 20050 174
20200901 956 20100 20100 20100 20100 10
20200901 957 20100 20100 20100 20100 251
20200901 958 20150 20350 20150 20350 1093
20200901 959 20300 20350 20250 20250 1061
20200901 1000 20150 20300 20050 20300 953
20200901 1001 20250 20300 20250 20250 622
20200901 1002 20150 20200 20000 20200 391
20200901 1003 20200 20200 20150 20150 2
20200901 1004 20050 20150 20050 20150 13
20200901 1005 20150 20150 20050 20050 436
20200901 1006 20050 20100 20050 20100 471
20200901 1007 20050 20050 20000 20000 671
20200901 1008 20000 20150 20000 20150 56
20200901 1009 20000 20000 20000 20000 79
20200901 1010 20000 20150 20000 20150 22
20200901 1012 20000 20000 20000 20000 1
20200901 1013 20000 20000 19800 19800 300
20200901 1014 20100 20100 20100 20100 1
