Name,Code,Stock,capitalization
삼성전자,A005930,5969782,288340470600000.0
SK하이닉스,A000660,728002365,59259392511000.0
삼성바이오로직스,A207940,66165000,35662935000000.0
삼성전자우,A005935,822886700,34396664060000.0
셀트리온,A068270,128346619,27658696394500.0
NAVER,A035420,164263395,27267723570000.0
LG화학,A051910,70592343,22236588045000.0
현대차,A005380,213668187,20896748688600.0
LG생활건강,A051900,15618197,18694981809000.0
삼성물산,A028260,189690043,17489421964600.0
삼성SDI,A006400,68764530,16606633995000.0
현대모비스,A012330,95054694,16539516756000.0
POSCO,A005490,87186835,15780817135000.0
SK텔레콤,A017670,80745711,15341685090000.0
엔씨소프트,A036570,21954022,14292068322000.0
신한지주,A055550,482432493,13749326050500.0
카카오,A035720,86957175,13695755062500.0
KB금융,A105560,415807920,13534547796000.0
한국전력,A015760,641964077,13128165374650.0
SK,A034730,70360297,12313051975000.0
기아차,A000270,405363347,11958218736500.0
삼성에스디에스,A018260,77377800,11761425600000.0
KT&G,A033780,137292497,10626439267800.0
LG,A003550,172557131,10129103589700.0
아모레퍼시픽,A090430,58458490,10025631035000.0
삼성생명,A032830,200000000,9880000000000.0
SK이노베이션,A096770,92465564,8904433813200.0
삼성화재,A000810,47374837,8859094519000.0
LG전자,A066570,163647814,8706063704800.0
넷마블,A251270,85789284,8149981980000.0
삼성전기,A009150,74693696,7432022752000.0
S-Oil,A010950,112582792,7419205992800.0
하나금융지주,A086790,300242062,7385954725200.0
고려아연,A010130,18870000,7217775000000.0
롯데케미칼,A011170,34275419,6169575420000.0
KODEX 200,A069500,242150000,5988369500000.0
한국조선해양,A009540,70773116,5718467772800.0
우리금융지주,A316140,722267683,5705914695700.0
KT,A030200,261111808,5535570329600.0
LG유플러스,A032640,436611361,5086522355650.0
강원랜드,A035250,213940500,5006207700000.0
한진칼,A180640,59170458,4999903701000.0
아모레G,A002790,82458180,4947490800000.0
한온시스템,A018880,533800000,4692102000000.0
코웨이,A021240,73799619,4612476187500.0
오리온,A271560,39536132,4507119048000.0
기업은행,A024110,577156979,4472966587250.0
LG디스플레이,A034220,357815700,3953863485000.0
맥쿼리인프라,A088980,349044336,3891844346400.0
현대글로비스,A086280,37500000,3750000000000.0
현대중공업지주,A267250,16286617,3697062059000.0
GS,A078930,92915378,3632991279800.0
