Name,Code,Stock,capitalization
삼성전자,A005930,5969782,319383337000000
SK하이닉스,A000660,728002365,62098601734500
삼성전자우,A005935,822886700,35425272435000
NAVER,A035420,164813395,28100683847500
현대차,A005380,213668187,26708523375000
삼성바이오로직스,A207940,66165000,26399835000000
현대모비스,A012330,95306694,24493820358000
셀트리온,A068270,128337853,23549996025500
LG화학,A051910,70592343,22413068902500
신한지주,A055550,474199587,20746231931250
SK텔레콤,A017670,80745711,19823072050500
POSCO,A005490,87186835,19660631292500
삼성물산,A028260,189690043,19538074429000
SK,A034730,70360297,19173180932500
LG생활건강,A051900,15618197,18976109355000
KB금융,A105560,418111537,18773208011300
한국전력,A015760,641964077,18039190563700
기아차,A000270,405363347,17633305594500
삼성SDI,A006400,68764530,16675398525000
삼성에스디에스,A018260,77377800,15591626700000
삼성생명,A032830,200000000,14700000000000
SK이노베이션,A096770,92465564,14655791894000
KT&G,A033780,137292497,13578227953300
카카오,A035720,86074070,13470591955000
LG,A003550,172557131,12751971980900
엔씨소프트,A036570,21954022,12316206342000
LG전자,A066570,163647814,11766277826600
삼성화재,A000810,47374837,11062024439500
하나금융지주,A086790,300242062,10928811056800
S-Oil,A010950,112582792,10819206311200
아모레퍼시픽,A090430,58458490,10639445180000
KODEX 200,A069500,234150000,6700202250000
TIGER 200,A102110,112800000,3228900000000
KODEX 레버리지,A122630,180000000,2401200000000
KODEX 단기채권,A153130,14539000,1475563110000
KODEX 종합채권(AA-이상)액티브,A273130,12416000,1334844160000
KODEX Top5PlusTR,A315930,93700000,1270572000000
TIGER TOP10,A292150,138150000,1234370250000
KODEX 200TR,A278530,128850000,1160294250000
KODEX 코스닥150 레버리지,A233740,138200000,1155352000000
KODEX 삼성그룹,A102780,164600000,1102820000000
TIGER 단기통안채,A157450,10230000,1037424300000
KODEX MSCI Korea TR,A278540,111500000,999597500000
KODEX 단기채권PLUS,A214980,8739000,887576535000
KODEX 200선물인버스2X,A252670,112600000,751605000000
TIGER MSCI Korea TR,A310970,63500000,715962500000
KODEX 코스닥 150,A229200,59800000,602784000000
KODEX 인버스,A114800,76100000,503782000000
KODEX 코스피,A226490,19000000,411255000000
KODEX 선진국MSCI World,A251350,25900000,380989000000
TIGER 코스닥150,A232080,34020000,344962800000
TIGER 단기채권액티브,A272580,6662000,338129810000
TIGER 200 IT,A139260,13180000,291541600000
KODEX 국채선물10년인버스,A176950,5754000,267302070000
KODEX 코스닥150선물인버스,A251340,31300000,248678500000
TIGER 차이나CSI300,A192090,28200000,248442000000
TIGER 차이나CSI300레버리지(합성),A204480,12900000,240520500000
TIGER 중국소비테마,A150460,25800000,176601000000
KODEX 배당가치,A325020,16400000,169166000000
TIGER 글로벌4차산업혁신기술(합성 H),A275980,13100000,161916000000
TIGER 코스피,A277630,7400000,159803000000
TIGER 미국달러단기채권액티브,A329750,15560000,154666400000
TIGER 경기방어,A139280,15000000,152400000000
KODEX KRX300,A292190,10900000,143280500000
KODEX 국고채3년,A114260,2520000,143085600000
KODEX 단기변동금리부채권액티브,A273140,1336000,135483760000
TIGER 200선물레버리지,A267770,12800000,128512000000
TIGER 미국S&P500선물(H),A143850,3375000,123626250000
KODEX 골드선물(H),A132030,11500000,121152500000
TIGER 부동산인프라고배당,A329200,21300000,117576000000
TIGER 헬스케어,A143860,3900000,107445000000
TIGER 200선물인버스2X,A252710,15400000,104643000000
