Name,Code,Stock,capitalization
삼성전자,A005930,5969782,308637729400000
SK하이닉스,A000660,728002365,58676990619000
삼성전자우,A005935,822886700,34725818740000
NAVER,A035420,164813395,28842344125000
삼성바이오로직스,A207940,66165000,25638937500000
현대차,A005380,213668187,25533348346500
현대모비스,A012330,95306694,24303206970000
LG화학,A051910,70592343,21212999071500
셀트리온,A068270,128337853,21175745745000
신한지주,A055550,474199587,20698811972550
POSCO,A005490,87186835,20052972050000
KB금융,A105560,418111537,19943920314900
LG생활건강,A051900,15618197,19616455432000
SK텔레콤,A017670,80745711,19500089206500
삼성물산,A028260,189690043,19063849321500
한국전력,A015760,641964077,18328074398350
SK,A034730,70360297,18223316923000
기아차,A000270,405363347,17937328104750
삼성SDI,A006400,68764530,15506401515000
삼성에스디에스,A018260,77377800,15011293200000
삼성생명,A032830,200000000,14780000000000
SK이노베이션,A096770,92465564,13453739562000
KT&G,A033780,137292497,13111433463500
LG,A003550,172557131,12993551964300
카카오,A035720,86171634,12796487649000
엔씨소프트,A036570,21954022,11986896012000
LG전자,A066570,163647814,11569900449800
삼성화재,A000810,47374837,11180461532000
아모레퍼시픽,A090430,58458490,11136342345000
하나금융지주,A086790,300242062,11018883675400
S-Oil,A010950,112582792,9974835371200
삼성전기,A009150,74693696,8888549824000
한국조선해양,A009540,70773116,8705093268000
우리금융지주,A316140,722267683,8197738202050
고려아연,A010130,18870000,7783875000000
넷마블,A251270,85743192,7536826576800
롯데케미칼,A011170,34275419,7283526537500
KT,A030200,261111808,6984740864000
KODEX 200,A069500,249450000,6982105500000
기업은행,A024110,577156979,6810452352200
웅진코웨이,A021240,73799619,6597685938600
셀트리온헬스케어,A091990,143928048,6548726184000
아모레G,A002790,82458180,6489458766000
강원랜드,A035250,213940500,6289850700000
LG유플러스,A032640,436611361,5937914509600
한온시스템,A018880,533800000,5765040000000
LG디스플레이,A034220,357815700,5689269630000
현대중공업지주,A267250,16286617,5553736397000
현대글로비스,A086280,37500000,5475000000000
미래에셋대우,A006800,658316408,4864958255120
현대건설,A000720,111355765,4715916647750
GS,A078930,92915378,4585373904300
삼성카드,A029780,115858891,4437395525300
삼성중공업,A010140,630000000,4422600000000
에이치엘비,A028300,42738918,4248248449200
맥쿼리인프라,A088980,349044336,4188532032000
현대제철,A004020,133445785,4123474756500
오리온,A271560,39536132,4111757728000
한국타이어앤테크놀로지,A161390,123875069,4081683523550
DB손해보험,A005830,70800000,3865680000000
한국금융지주,A071050,55725992,3850666047200
CJ제일제당,A097950,15054186,3793654872000
삼성엔지니어링,A028050,196000000,3733800000000
에스원,A012750,37999178,3659320841400
롯데쇼핑,A023530,28288755,3635105017500
롯데지주,A004990,104909237,3624614138350
이마트,A139480,27875819,3609918560500
TIGER 200,A102110,126900000,3554469000000
CJ대한통운,A000120,22812344,3535913320000
한국가스공사,A036460,92313000,3503278350000
NH투자증권,A005940,281408887,3475399754450
한국항공우주,A047810,97475107,3392133723600
한미약품,A128940,11612184,3384951636000
CJ ENM,A035760,21929154,3337617238800
삼성증권,A016360,89300000,3277310000000
두산밥캣,A241560,100249166,3273135269900
호텔신라,A008770,39248121,3234045170400
휠라코리아,A081660,61115070,3202429668000
LG이노텍,A011070,23667107,3124058124000
대림산업,A000210,34800000,3076320000000
대우조선해양,A042660,107205752,2974959618000
현대차2우B,A005387,36485451,2940727350600
제일기획,A030000,115041225,2910542992500
유한양행,A000100,12777115,2887627990000
GS리테일,A007070,77000000,2864400000000
포스코케미칼,A003670,60988220,2863396929000
한화케미칼,A009830,161479290,2850109468500
신세계,A004170,9845181,2825566947000
CJ,A001040,29176998,2800991808000
BGF리테일,A282330,17283906,2748141054000
쌍용양회,A003410,503859595,2705726025150
대한항공,A003490,94844634,2537093959500
GS건설,A006360,79924368,2473659189600
현대해상,A001450,89400000,2436150000000
펄어비스,A263750,13023000,2409255000000
BNK금융지주,A138930,325935246,2408661467940
한진칼,A180640,59170458,2396403549000
포스코인터내셔널,A047050,123375149,2362634103350
한미사이언스,A008930,64742860,2350165818000
오렌지라이프,A079440,82000000,2332900000000
팬오션,A028670,534569207,2325376050450
KCC,A002380,10556513,2290763321000
KODEX 레버리지,A122630,178800000,2275230000000
메리츠종금증권,A008560,617310701,2274789933185
금호석유,A011780,30467691,2215001135700
스튜디오드래곤,A253450,28096370,2146562668000
더존비즈온,A012510,29672700,2112696240000
메리츠화재,A000060,113680000,2063292000000
KODEX 단기채권,A153130,13161000,1336696965000
KODEX 종합채권(AA-이상)액티브,A273130,12292000,1328212060000
KODEX Top5PlusTR,A315930,95200000,1256640000000
KODEX MSCI Korea TR,A278540,133000000,1159095000000
TIGER TOP10,A292150,129200000,1120164000000
KODEX 코스닥150 레버리지,A233740,151200000,1106784000000
KODEX 200TR,A278530,123600000,1087062000000
KODEX 삼성그룹,A102780,164200000,1080436000000
TIGER MSCI Korea TR,A310970,86500000,947607500000
TIGER 단기통안채,A157450,8986000,911944210000
KODEX 단기채권PLUS,A214980,8720000,886344400000
KODEX 200선물인버스2X,A252670,85800000,599313000000
KODEX 코스닥 150,A229200,57000000,538935000000
KODEX 인버스,A114800,65700000,445117500000
KODEX 코스피,A226490,18600000,392832000000
KODEX 선진국MSCI World,A251350,25600000,384640000000
TIGER 단기채권액티브,A272580,6680000,339344000000
TIGER 코스닥150,A232080,33300000,315684000000
TIGER 200 IT,A139260,13380000,288807300000
TIGER 차이나CSI300,A192090,28200000,249993000000
TIGER 차이나CSI300레버리지(합성),A204480,12900000,243423000000
KODEX 코스닥150선물인버스,A251340,24900000,210280500000
