날짜 시간 시가 고가 저가 종가 거래량
20200901 901 10195 10195 10195 10195 934
20200901 902 10185 10185 10185 10185 100
20200901 904 10195 10195 10195 10195 100
20200901 905 10195 10195 10195 10195 250
20200901 906 10195 10195 10195 10195 300
20200901 907 10190 10190 10180 10180 270
20200901 908 10180 10180 10180 10180 20
20200901 911 10200 10200 10200 10200 200
20200901 916 10280 10280 10280 10280 201
20200901 917 10280 10280 10265 10265 614
20200901 918 10290 10290 10280 10280 110
20200901 920 10280 10280 10280 10280 280
20200901 921 10270 10270 10270 10270 10
20200901 922 10265 10275 10265 10275 2200
20200901 923 10275 10285 10275 10285 2103
20200901 924 10280 10280 10280 10280 500
20200901 925 10270 10270 10265 10265 510
20200901 926 10265 10265 10250 10250 750
20200901 928 10255 10255 10255 10255 100
20200901 929 10260 10260 10260 10260 1
20200901 930 10270 10270 10270 10270 100
20200901 931 10260 10260 10260 10260 50
20200901 934 10255 10255 10255 10255 18
20200901 935 10255 10255 10240 10240 203
20200901 936 10230 10230 10230 10230 10
20200901 937 10225 10225 10225 10225 297
20200901 938 10225 10225 10225 10225 13
20200901 940 10235 10235 10235 10235 500
20200901 942 10235 10235 10235 10235 146
20200901 943 10260 10265 10260 10265 276
20200901 944 10250 10250 10250 10250 250
20200901 948 10280 10280 10280 10280 566
20200901 950 10280 10280 10280 10280 5
20200901 955 10275 10275 10275 10275 248
20200901 957 10270 10270 10270 10270 10
20200901 1001 10275 10280 10275 10280 1348
20200901 1005 10285 10285 10285 10285 10
20200901 1010 10280 10280 10280 10280 50
20200901 1015 10295 10295 10295 10295 20
20200901 1018 10290 10290 10290 10290 7
20200901 1019 10285 10285 10275 10275 15
20200901 1021 10255 10255 10255 10255 152
20200901 1029 10255 10255 10250 10250 513
20200901 1035 10250 10250 10250 10250 590
20200901 1038 10250 10250 10250 10250 150
20200901 1042 10255 10265 10255 10265 70
20200901 1043 10280 10280 10280 10280 271
20200901 1048 10285 10285 10285 10285 1102
20200901 1054 10290 10290 10280 10280 453
20200901 1055 10275 10275 10275 10275 30
20200901 1106 10300 10300 10300 10300 1
20200901 1112 10325 10325 10325 10325 1568
20200901 1113 10320 10320 10320 10320 250
20200901 1118 10320 10320 10320 10320 5
20200901 1119 10325 10325 10325 10325 50
20200901 1120 10335 10335 10335 10335 230
20200901 1123 10325 10325 10325 10325 63
20200901 1128 10310 10310 10310 10310 31
20200901 1132 10340 10340 10340 10340 510
20200901 1143 10340 10340 10340 10340 40
20200901 1144 10350 10350 10350 10350 250
20200901 1145 10355 10355 10355 10355 250
20200901 1146 10355 10355 10355 10355 250
20200901 1150 10350 10350 10350 10350 11
20200901 1151 10335 10335 10335 10335 16
20200901 1154 10335 10335 10335 10335 55
20200901 1208 10315 10315 10310 10310 211
20200901 1212 10310 10310 10300 10300 317
20200901 1213 10280 10280 10255 10255 506
20200901 1215 10275 10275 10275 10275 250
20200901 1216 10270 10270 10270 10270 163
20200901 1219 10285 10285 10285 10285 63
20200901 1225 10295 10295 10295 10295 15
20200901 1228 10295 10295 10295 10295 27
20200901 1231 10295 10295 10295 10295 458
20200901 1234 10290 10290 10290 10290 100
20200901 1236 10270 10270 10255 10255 1011
20200901 1237 10250 10250 10250 10250 25
20200901 1241 10250 10250 10250 10250 20
20200901 1247 10260 10260 10260 10260 139
20200901 1257 10280 10280 10280 10280 30
20200901 1258 10280 10280 10280 10280 538
20200901 1259 10280 10280 10280 10280 97
20200901 1301 10280 10280 10280 10280 839
20200901 1302 10280 10280 10280 10280 1000
20200901 1308 10290 10290 10290 10290 50
20200901 1309 10290 10290 10290 10290 50
20200901 1332 10300 10300 10295 10295 77
20200901 1346 10305 10305 10305 10305 5
20200901 1401 10320 10320 10305 10305 1100
20200901 1403 10310 10310 10310 10310 30
20200901 1406 10315 10315 10315 10315 20
20200901 1416 10350 10350 10350 10350 5
20200901 1417 10365 10400 10365 10400 1024
20200901 1423 10390 10390 10385 10385 148
20200901 1427 10395 10395 10395 10395 58
20200901 1428 10390 10390 10390 10390 105
20200901 1429 10400 10400 10400 10400 1
20200901 1430 10415 10415 10415 10415 500
20200901 1431 10415 10415 10415 10415 5
20200901 1450 10385 10385 10385 10385 10
20200901 1451 10390 10390 10390 10390 100
20200901 1453 10390 10390 10390 10390 1
20200901 1454 10390 10400 10390 10400 299
20200901 1455 10400 10400 10400 10400 400
20200901 1459 10405 10405 10405 10405 2265
20200901 1502 10415 10415 10410 10410 75
20200901 1504 10400 10400 10400 10400 50
20200901 1508 10395 10395 10395 10395 99
20200901 1510 10405 10405 10405 10405 100
20200901 1511 10405 10405 10405 10405 321
20200901 1512 10405 10405 10405 10405 1064
20200901 1513 10400 10400 10400 10400 159
20200901 1514 10410 10410 10410 10410 7
20200901 1515 10420 10420 10420 10420 10
20200901 1516 10410 10420 10410 10420 30
20200901 1517 10450 10450 10450 10450 1
20200901 1519 10440 10440 10440 10440 11
20200901 1520 10450 10450 10440 10440 280
20200901 1530 10425 10425 10425 10425 761
