날짜 시가 고가 저가 종가 거래량 거래대금 상장주식수 시가총액 외국인현보유수량 기관순매수
20070102 1000.0 1000.0 1000.0 1000.0 0 0 0 0 0 0
20070103 983.9600219726562 983.9600219726562 983.9600219726562 983.9600219726562 0 0 0 0 0 0
20070104 971.6599731445312 971.6599731445312 971.6599731445312 971.6599731445312 0 0 0 0 0 0
20070105 960.1599731445312 960.1599731445312 960.1599731445312 960.1599731445312 0 0 0 0 0 0
20070108 951.0700073242188 951.0700073242188 951.0700073242188 951.0700073242188 0 0 0 0 0 0
20070109 953.739990234375 953.739990234375 953.739990234375 953.739990234375 0 0 0 0 0 0
20070110 938.239990234375 938.239990234375 938.239990234375 938.239990234375 0 0 0 0 0 0
20070111 946.52001953125 946.52001953125 946.52001953125 946.52001953125 0 0 0 0 0 0
20070112 962.5700073242188 962.5700073242188 962.5700073242188 962.5700073242188 0 0 0 0 0 0
20070115 965.239990234375 965.239990234375 965.239990234375 965.239990234375 0 0 0 0 0 0
20070116 967.1099853515625 967.1099853515625 967.1099853515625 967.1099853515625 0 0 0 0 0 0
20070117 958.02001953125 958.02001953125 958.02001953125 958.02001953125 0 0 0 0 0 0
20070118 963.6400146484375 963.6400146484375 963.6400146484375 963.6400146484375 0 0 0 0 0 0
20070119 940.9099731445312 940.9099731445312 940.9099731445312 940.9099731445312 0 0 0 0 0 0
20070122 949.2000122070312 949.2000122070312 949.2000122070312 949.2000122070312 0 0 0 0 0 0
20070123 948.1300048828125 948.1300048828125 948.1300048828125 948.1300048828125 0 0 0 0 0 0
20070124 966.0399780273438 966.0399780273438 966.0399780273438 966.0399780273438 0 0 0 0 0 0
20070125 965.780029296875 965.780029296875 965.780029296875 965.780029296875 0 0 0 0 0 0
20070126 952.1400146484375 952.1400146484375 952.1400146484375 952.1400146484375 0 0 0 0 0 0
20070129 949.72998046875 949.72998046875 949.72998046875 949.72998046875 0 0 0 0 0 0
20070130 955.0800170898438 955.0800170898438 955.0800170898438 955.0800170898438 0 0 0 0 0 0
20070131 947.0599975585938 947.0599975585938 947.0599975585938 947.0599975585938 0 0 0 0 0 0
20070201 962.8300170898438 962.8300170898438 962.8300170898438 962.8300170898438 0 0 0 0 0 0
20070202 981.280029296875 981.280029296875 981.280029296875 981.280029296875 0 0 0 0 0 0
20070205 986.0999755859375 986.0999755859375 986.0999755859375 986.0999755859375 0 0 0 0 0 0
20070206 992.510009765625 992.510009765625 992.510009765625 992.510009765625 0 0 0 0 0 0
20070207 994.1199951171875 994.1199951171875 994.1199951171875 994.1199951171875 0 0 0 0 0 0
20070208 987.7000122070312 987.7000122070312 987.7000122070312 987.7000122070312 0 0 0 0 0 0
20070209 990.3699951171875 990.3699951171875 990.3699951171875 990.3699951171875 0 0 0 0 0 0
20070212 979.9500122070312 979.9500122070312 979.9500122070312 979.9500122070312 0 0 0 0 0 0
20070213 986.0999755859375 986.0999755859375 986.0999755859375 986.0999755859375 0 0 0 0 0 0
20070214 997.0599975585938 997.0599975585938 997.0599975585938 997.0599975585938 0 0 0 0 0 0
20070215 1002.9400024414062 1002.9400024414062 1002.9400024414062 1002.9400024414062 0 0 0 0 0 0
20070216 1006.9500122070312 1006.9500122070312 1006.9500122070312 1006.9500122070312 0 0 0 0 0 0
20070220 1008.02001953125 1008.02001953125 1008.02001953125 1008.02001953125 0 0 0 0 0 0
20070221 1009.8900146484375 1009.8900146484375 1009.8900146484375 1009.8900146484375 0 0 0 0 0 0
20070222 1018.4500122070312 1018.4500122070312 1018.4500122070312 1018.4500122070312 0 0 0 0 0 0
20070223 1017.6500244140625 1017.6500244140625 1017.6500244140625 1017.6500244140625 0 0 0 0 0 0
20070226 1017.9099731445312 1017.9099731445312 1017.9099731445312 1017.9099731445312 0 0 0 0 0 0
20070227 1007.219970703125 1007.219970703125 1007.219970703125 1007.219970703125 0 0 0 0 0 0
20070228 979.6799926757812 979.6799926757812 979.6799926757812 979.6799926757812 0 0 0 0 0 0
20070302 977.010009765625 977.010009765625 977.010009765625 977.010009765625 0 0 0 0 0 0
20070305 950.7999877929688 950.7999877929688 950.7999877929688 950.7999877929688 0 0 0 0 0 0
20070306 968.4500122070312 968.4500122070312 968.4500122070312 968.4500122070312 0 0 0 0 0 0
20070307 970.1699829101562 970.1699829101562 970.1699829101562 970.1699829101562 0 0 0 0 0 0
20070308 980.4400024414062 980.4400024414062 980.4400024414062 980.4400024414062 0 0 0 0 0 0
20070309 973.8599853515625 973.8599853515625 973.8599853515625 973.8599853515625 0 0 0 0 0 0
20070312 987.5599975585938 987.5599975585938 987.5599975585938 987.5599975585938 0 0 0 0 0 0
20070313 984.6599731445312 984.6599731445312 984.6599731445312 984.6599731445312 0 0 0 0 0 0
20070314 963.3200073242188 963.3200073242188 963.3200073242188 963.3200073242188 0 0 0 0 0 0
20070315 979.9199829101562 979.9199829101562 979.9199829101562 979.9199829101562 0 0 0 0 0 0
20070316 975.7000122070312 975.7000122070312 975.7000122070312 975.7000122070312 0 0 0 0 0 0
20070319 986.77001953125 986.77001953125 986.77001953125 986.77001953125 0 0 0 0 0 0
20070320 990.4600219726562 990.4600219726562 990.4600219726562 990.4600219726562 0 0 0 0 0 0
20070321 985.4500122070312 985.4500122070312 985.4500122070312 985.4500122070312 0 0 0 0 0 0
20070322 993.8800048828125 993.8800048828125 993.8800048828125 993.8800048828125 0 0 0 0 0 0
20070323 993.8800048828125 993.8800048828125 993.8800048828125 993.8800048828125 0 0 0 0 0 0
20070326 993.8800048828125 993.8800048828125 993.8800048828125 993.8800048828125 0 0 0 0 0 0
20070327 1000.2100219726562 1000.2100219726562 1000.2100219726562 1000.2100219726562 0 0 0 0 0 0
20070328 986.5 986.5 986.5 986.5 0 0 0 0 0 0
20070329 996.25 996.25 996.25 996.25 0 0 0 0 0 0
20070330 994.4099731445312 994.4099731445312 994.4099731445312 994.4099731445312 0 0 0 0 0 0
20070402 1000.2100219726562 1000.2100219726562 1000.2100219726562 1000.2100219726562 0 0 0 0 0 0
20070403 1004.6900024414062 1004.6900024414062 1004.6900024414062 1004.6900024414062 0 0 0 0 0 0
20070404 1018.1199951171875 1018.1199951171875 1018.1199951171875 1018.1199951171875 0 0 0 0 0 0
