Name,Code,Stock,capitalization
삼성전자,A005930,5969782,265655299000000
SK하이닉스,A000660,728002365,55182579267000
삼성전자우,A005935,822886700,30446807900000
현대차,A005380,213668187,26815357468500
NAVER,A035420,164813395,24309975762500
현대모비스,A012330,95306694,23350140030000
LG화학,A051910,70592343,23154288504000
셀트리온,A068270,128336328,20084635332000
SK텔레콤,A017670,80745711,19217479218000
신한지주,A055550,474199587,19086533376750
삼성바이오로직스,A207940,66165000,18757777500000
POSCO,A005490,87186835,18352828767500
LG생활건강,A051900,15618197,18085872126000
기아차,A000270,405363347,17309014916900
삼성물산,A028260,189690043,17166948891500
삼성SDI,A006400,68764530,17156750235000
한국전력,A015760,641964077,16530574982750
KB금융,A105560,418111537,16494500134650
삼성에스디에스,A018260,77377800,15398182200000
SK이노베이션,A096770,92465564,15164352496000
KT&G,A033780,137292497,14003834694000
SK,A034730,70360297,13966518954500
삼성생명,A032830,200000000,13300000000000
LG,A003550,172557131,12130766309300
엔씨소프트,A036570,21946522,11763335792000
카카오,A035720,83575608,10990192452000
삼성화재,A000810,47374837,10872525091500
S-Oil,A010950,112582792,10391391701600
LG전자,A066570,163647814,9933422309800
하나금융지주,A086790,300242062,9562709674700
고려아연,A010130,18870000,8340540000000
넷마블,A251270,85730088,7981471192800
우리금융지주,A316140,680164306,7889905949600
롯데케미칼,A011170,34275419,7814795532000
한국조선해양,A009540,70773116,7643496528000
아모레퍼시픽,A090430,58458490,7365769740000
KT,A030200,261111808,7115296768000
기업은행,A024110,574944394,7043068826500
삼성전기,A009150,74693696,6849411923200
셀트리온헬스케어,A091990,143918048,6087733430400
웅진코웨이,A021240,73799619,6044188796100
강원랜드,A035250,213940500,6043819125000
한온시스템,A018880,533800000,5978560000000
현대글로비스,A086280,37500000,5868750000000
KODEX 200,A069500,221300000,5726137500000
LG유플러스,A032640,436611361,5457642012500
현대중공업지주,A267250,16286617,5203574131500
현대제철,A004020,133445785,4970855491250
미래에셋대우,A006800,658316408,4864958255120
삼성중공업,A010140,630000000,4762800000000
LG디스플레이,A034220,357815700,4651604100000
현대건설,A000720,111355765,4543315212000
아모레G,A002790,82458180,4518708264000
GS,A078930,92915378,4408834686100
한국금융지주,A071050,55725992,4028989221600
맥쿼리인프라,A088980,349044336,3996557647200
에스원,A012750,37999178,3913915334000
한국항공우주,A047810,97475107,3806402928350
삼성카드,A029780,115858891,3788585735700
롯데쇼핑,A023530,28288755,3649249395000
두산밥캣,A241560,100249166,3618994892600
대림산업,A000210,34800000,3567000000000
한국가스공사,A036460,92313000,3563281800000
한국타이어앤테크놀로지,A161390,123875069,3499470699250
오리온,A271560,39536132,3491040455600
CJ ENM,A035760,21929154,3475770909000
CJ제일제당,A097950,15054186,3462462780000
NH투자증권,A005940,281408887,3461329310100
한미약품,A128940,11612184,3413982096000
DB손해보험,A005830,70800000,3401940000000
BGF리테일,A282330,17283906,3379003623000
롯데지주,A004990,104909237,3346604660300
휠라코리아,A081660,61115070,3232987203000
CJ대한통운,A000120,22812344,3227946676000
이마트,A139480,27875819,3163905456500
삼성증권,A016360,89300000,3152290000000
호텔신라,A008770,39248121,3120225619500
제일기획,A030000,115041225,3094608952500
헬릭스미스,A084990,15956260,2996585628000
포스코케미칼,A003670,60988220,2982323958000
삼성엔지니어링,A028050,196000000,2979200000000
GS리테일,A007070,77000000,2976050000000
메리츠종금증권,A008560,617310701,2938398936760
현대차2우B,A005387,36485451,2937078805500
쌍용양회,A003410,503859595,2932462842900
대우조선해양,A042660,107205752,2889195016400
유한양행,A000100,12777115,2874850875000
한화케미칼,A009830,161479290,2842035504000
한미사이언스,A008930,64742860,2751571550000
TIGER 200,A102110,105900000,2740162500000
GS건설,A006360,79924368,2549587339200
KODEX 레버리지,A122630,226400000,2480212000000
LG이노텍,A011070,23667107,2461379128000
팬오션,A028670,534569207,2429617045815
CJ,A001040,29176998,2348748339000
펄어비스,A263750,13021400,2342549860000
KCC,A002380,10556513,2338267629500
포스코인터내셔널,A047050,123375149,2226921439450
금호석유,A011780,30467691,2208907597500
대한항공,A003490,94844634,2205137740500
메디톡스,A086900,5815090,2198104020000
케이엠더블유,A032500,38895499,2197595693500
신세계,A004170,9845181,2180707591500
