Name,Code,Stock,capitalization
삼성전자,A005930,5969782,263864364400000
SK하이닉스,A000660,728002365,49576961056500
삼성전자우,A005935,822886700,28718745830000
LG화학,A051910,70592343,26154463081500
현대차,A005380,213668187,25853850627000
셀트리온,A068270,125461438,25468671914000
POSCO,A005490,87186835,22842950770000
한국전력,A015760,641964077,22725528325800
삼성바이오로직스,A207940,66165000,22562265000000
NAVER,A035420,164813395,21508148047500
LG생활건강,A051900,15618197,21256366117000
삼성물산,A028260,189690043,20960749751500
신한지주,A055550,474199587,20959621745400
SK텔레콤,A017670,80745711,20469037738500
현대모비스,A012330,97343863,20150179641000
SK,A034730,70360297,19208361081000
KB금융,A105560,418111537,18376002051150
SK이노베이션,A096770,92465564,17799621070000
삼성생명,A032830,200000000,17620000000000
삼성에스디에스,A018260,77377800,17564760600000
KT&G,A033780,137292497,14690297179000
삼성SDI,A006400,68764530,14543698095000
삼성화재,A000810,47374837,14378263029500
기아차,A000270,405363347,13681012961250
LG,A003550,172557131,13545734783500
LG전자,A066570,163647814,12633611240800
아모레퍼시픽,A090430,58458490,11457864040000
하나금융지주,A086790,300242062,11364162046700
S-Oil,A010950,112582792,10852981148800
넷마블,A251270,85266510,10231981200000
롯데케미칼,A011170,34275419,10111248605000
우리금융지주,A316140,680164306,10100439944100
셀트리온헬스케어,A091990,140526549,9864963739800
엔씨소프트,A036570,21939022,9751895279000
현대중공업,A009540,70773116,9165118522000
카카오,A035720,83387773,8964185597500
고려아연,A010130,18870000,8689635000000
기업은행,A024110,574944394,8394188152400
KODEX 200,A069500,270900000,7697623500000
LG디스플레이,A034220,357815700,7549911270000
삼성전기,A009150,74693696,7446961491200
KT,A030200,261111808,7298075033600
코웨이,A021240,73799619,7092143385900
강원랜드,A035250,213940500,6985157325000
LG유플러스,A032640,436611361,6571000983050
현대제철,A004020,133445785,6238590448750
한온시스템,A018880,533800000,6165390000000
아모레G,A002790,82458180,6085413684000
삼성중공업,A010140,630000000,5777100000000
현대중공업지주,A267250,16286617,5716602567000
현대건설,A000720,111355765,5645737285500
한미약품,A128940,11612184,5602878780000
롯데쇼핑,A023530,28288755,5417296582500
롯데지주,A004990,104909237,5308407392200
한국타이어,A161390,123875069,5270884185950
한미사이언스,A008930,64742860,5270068804000
CJ ENM,A035760,21926384,5244791052800
GS,A078930,92915378,5082471176600
DB손해보험,A005830,70800000,5055120000000
미래에셋대우,A006800,658316408,5022954193040
CJ제일제당,A097950,15054186,4952827194000
이마트,A139480,27875819,4934019963000
바이로메드,A084990,15956260,4874637430000
현대글로비스,A086280,37500000,4818750000000
한국가스공사,A036460,92313000,4652575200000
신라젠,A215600,70363125,4636929937500
TIGER 200,A102110,155200000,4396816000000
CJ대한통운,A000120,22812344,4208877468000
삼성카드,A029780,115858891,4014510573150
휠라코리아,A081660,61115070,3996925578000
오리온,A271560,39536132,3973381266000
포스코켐텍,A003670,59070000,3863178000000
에스원,A012750,37999178,3856916567000
한화케미칼,A009830,163110394,3833094259000
BGF리테일,A282330,17283906,3716039790000
NH투자증권,A005940,281408887,3714597308400
CJ,A001040,29176998,3690890247000
한화생명,A088350,868530000,3652168650000
한국항공우주,A047810,97475107,3611452714350
한국금융지주,A071050,55725992,3611044281600
KCC,A002380,10556513,3499484059500
맥쿼리인프라,A088980,349044336,3490443360000
GS건설,A006360,79629529,3471847464400
호텔신라,A008770,39248121,3426360963300
현대해상,A001450,89400000,3415080000000
에이치엘비,A028300,39235182,3374225652000
대림산업,A000210,34800000,3281640000000
유한양행,A000100,12777115,3245387210000
메디톡스,A086900,5656535,3221396682500
대한항공,A003490,94844634,3182037470700
삼성엔지니어링,A028050,196000000,3136000000000
대우조선해양,A042660,107205752,3135768246000
오렌지라이프,A079440,82000000,3111900000000
두산밥캣,A241560,100249166,3107724146000
금호석유,A011780,30467691,3062002945500
삼성증권,A016360,89300000,3058525000000
쌍용양회,A003410,503859595,3038273357850
GS리테일,A007070,77000000,2976050000000
신세계,A004170,9845181,2953554300000
메리츠종금증권,A008560,605641072,2864682270560
오뚜기,A007310,3605237,2794058675000
메리츠화재,A000060,113680000,2785160000000
현대차2우B,A005387,36485451,2772894276000
제일기획,A030000,115041225,2760989400000
스튜디오드래곤,A253450,28051490,2569516484000
LG이노텍,A011070,23667107,2508713342000
OCI,A010060,23849371,2492259269500
KODEX 레버리지,A122630,190200000,2467845000000
현대백화점,A069960,23402441,2422152643500
펄어비스,A263750,12943000,2398337900000
BNK금융지주,A138930,325935246,2395624058100
한화,A000880,74958735,2387435709750
코오롱티슈진,A950160,61017550,2358328307500
현대미포조선,A010620,39942149,2332621501600
포스코대우,A047050,123375149,2300946528850
팬오션,A028670,534569207,2269246283715
HDC현대산업개발,A294870,43938220,2205698644000
대웅제약,A069620,11586575,2184069387500
현대엘리베이,A017800,27158266,2126492227800
한샘,A009240,23533928,2118053520000
대우건설,A047040,415622638,2098894321900
동서,A026960,99700000,2098685000000
신세계인터내셔날,A031430,7140000,2081310000000
셀트리온제약,A068760,34065904,2060987192000
메리츠금융지주,A138040,140224314,1963140396000
태광산업,A003240,1113400,1947336600000
한올바이오파마,A009420,52240638,1919843446500
일진머티리얼즈,A020150,46110835,1849044483500
키움증권,A039490,22099740,1840908342000
LS,A006260,32200000,1838620000000
농심,A004370,6082642,1836957884000
SK머티리얼즈,A036490,10547673,1811035454100
현대로템,A064350,85000000,1810500000000
녹십자,A006280,11686538,1799726852000
두산,A000150,18238102,1781862565400
휴젤,A145020,4358205,1769431230000
제넥신,A095700,20444934,1762353310800
한화에어로스페이스,A012450,52040000,1756350000000
한국콜마,A161890,22346698,1751981123200
LG생활건강우,A051905,2099697,1730150328000
현대차우,A005385,24356685,1692789607500
NHN엔터테인먼트,A181710,19565025,1682592150000
에스에프에이,A056190,35908760,1680529968000
KODEX MSCI Korea TR,A278540,194600000,1666749000000
파라다이스,A034230,90942672,1664250897600
효성,A004800,21071025,1630897335000
한전KPS,A051600,45000000,1629000000000
두산인프라코어,A042670,208161279,1619494750620
영풍,A000670,1842040,1604416840000
한진칼,A180640,59170458,1582809751500
LG화학우,A051915,7688800,1560826400000
한국타이어월드와이드,A000240,93020173,1548785880450
코미팜,A041960,58070833,1535973532850
SK네트웍스,A001740,248187647,1513944646700
영원무역,A111770,44311468,1508805485400
코스맥스,A192820,10049509,1482302577500
LS산전,A010120,30000000,1476000000000
SKC,A011790,37534555,1467601100500
현대그린푸드,A005440,97704482,1465567230000
DGB금융지주,A139130,169145833,1464802913780
아난티,A025980,82320915,1461196241250
이노션,A214320,20000000,1460000000000
롯데칠성,A005300,799346,1454010374000
만도,A204320,46957120,1443931440000
금호타이어,A073240,287260287,1439174037870
GKL,A114090,61855670,1419587626500
코오롱인더,A120110,26978840,1419086984000
현대홈쇼핑,A057050,12000000,1410000000000
롯데하이마트,A071840,23607712,1359804211200
더존비즈온,A012510,29672700,1359009660000
에코프로비엠,A247540,19850000,1357740000000
KBSTAR 200,A148020,47350000,1346870750000
컴투스,A078340,12866420,1335534396000
에이비엘바이오,A298380,45303350,1316062317500
하이트진로,A000080,70133611,1304485164600
영진약품,A003520,182892731,1296709462790
원익IPS,A240810,49083901,1278635621050
서울반도체,A046890,58305400,1276888260000
GS홈쇼핑,A028150,6562500,1263281250000
차바이오텍,A085660,52477664,1259463936000
애경산업,A018250,26299135,1257098653000
오리온홀딩스,A001800,62645422,1249776168900
롯데정밀화학,A004000,25800000,1244850000000
롯데제과,A280360,6416717,1232009664000
고영,A098460,13687951,1230546794900
녹십자홀딩스,A005250,47028210,1227436281000
대웅,A003090,58141980,1197724788000
하림지주,A003380,93584198,1193198524500
JB금융지주,A175330,196982894,1187806850820
F&F,A007700,15400000,1181180000000
코리안리,A003690,120369116,1173598881000
현대상선,A011200,313805827,1172064763845
HDC,A012630,59741721,1164963559500
KODEX 코스닥150 레버리지,A233740,84300000,1146058500000
아모레퍼시픽우,A090435,10557830,1134966725000
카페24,A042000,9430597,1131671640000
현대위아,A011210,27195083,1124516682050
SPC삼립,A005610,8629009,1121771170000
락앤락,A115390,54186600,1116243960000
종근당,A185750,10370290,1109621030000
부광약품,A003000,48870283,1104468395800
삼천당제약,A000250,22105813,1094237743500
대한유화,A006650,6500000,1092000000000
더블유게임즈,A192080,18260502,1088325919200
쿠쿠홀딩스,A192400,7112437,1077534205500
한섬,A020000,24630000,1049238000000
동원F&B,A049770,3859124,1043893042000
한세실업,A105630,40000000,1042000000000
KODEX 삼성그룹,A102780,158000000,1040430000000
대상,A001680,34648025,1035975947500
TRUE 코스피 양매도 5% OTM ETN,Q570019,98900000,1034988500000
아이에스동서,A010780,30854105,1033612517500
메지온,A140410,8641708,1022314056400
KODEX 단기채권,A153130,10172000,1021116220000
KODEX 단기채권PLUS,A214980,10122000,1016350020000
다우기술,A023590,44866617,1016228875050
한전기술,A052690,38220000,1010919000000
제주항공,A089590,26356758,1009463831400
넥센타이어,A002350,97667877,1001095739250
코오롱생명과학,A102940,11412356,997439914400
JYP Ent.,A035900,35393704,996332767600
현대건설기계,A267270,19700793,994890046500
CJ CGV,A079160,21161313,987175251450
한솔케미칼,A014680,11295195,981552445500
SKC코오롱PI,A178920,29366322,980835154800
대한전선,A001440,856473009,976379230260
태영건설,A009410,76400000,958820000000
미래에셋생명,A085620,177016189,955887420600
두산중공업,A034020,117146826,950060758860
KODEX 코스닥 150,A229200,75250000,948150000000
상상인,A038540,47748397,940643420900
포스코 ICT,A022100,152034729,925891499610
영원무역홀딩스,A009970,13635592,913584664000
유틸렉스,A263050,7263578,912305396800
솔브레인,A036830,17398271,909929573300
콜마비앤에이치,A200130,29543558,899601341100
리노공업,A058470,15242370,893202882000
KODEX 200TR,A278530,101850000,890169000000
롯데관광개발,A032350,65731891,884093933950
쿠쿠홈시스,A284740,4487466,884030802000
에스엠,A041510,23051551,873653782900
동아에스티,A170900,8443868,869718404000
휴켐스,A069260,40878588,866626065600
하나투어,A039130,11616185,861920927000
JW중외제약,A001060,20318022,861484132800
풍산,A103140,28024278,858944120700
아시아나항공,A020560,205235294,849674117160
SK가스,A018670,9054167,845659197800
LIG넥스원,A079550,22000000,836000000000
엘앤에프,A066970,24758729,833131230850
BGF,A027410,95369179,825897090140
위메이드,A112040,16800000,823200000000
케어젠,A214370,10743000,821839500000
이오테크닉스,A039030,12280626,817889691600
SK케미칼,A285130,11579852,817537551200
ARIRANG 200,A152100,28350000,812652750000
동국제강,A001230,95432737,812132591870
동원산업,A006040,3363200,808849600000
오스코텍,A039200,28101839,807927871250
엔지켐생명과학,A183490,7792878,799549282800
삼양홀딩스,A000070,8564271,799046484300
안트로젠,A065660,8650277,795825484000
대덕전자,A008060,78006972,791770765800
쌍용차,A003620,149840002,783663210460
에스엘,A005850,33865090,782283579000
오스템임플란트,A048260,14285717,780000148200
롯데푸드,A002270,1131870,778726560000
천보,A278280,10000000,775000000000
AK홀딩스,A006840,13247561,774982318500
TIGER 단기통안채,A157450,7690000,771960650000
티씨케이,A064760,11675000,771717500000
경동나비엔,A009450,12739510,768192453000
후성,A093370,92606819,765858393130
파미셀,A005690,59958950,761478665000
동양생명,A082640,161358585,759998935350
크리스탈,A083790,40397934,759481159200
LF,A093050,29240000,755854000000
동원시스템즈,A014820,25618511,754465148950
제이콘텐트리,A036420,144068982,752040086040
세아베스틸,A001430,35862119,749518287100
웹젠,A069080,35310884,745059652400
KINDEX 200,A105190,25950000,744635250000
NICE,A034310,37882300,742493080000
CJ헬로,A037560,77446865,740392029400
네이처셀,A007390,53056399,740136766050
나노스,A151910,109013645,735842103750
효성티앤씨,A298020,4327682,731378258000
지역난방공사,A071320,11578744,730618746400
덴티움,A145720,11068830,716153301000
지트리비앤티,A115450,24491837,713937048550
빙그레,A005180,9851241,713229848400
잇츠한불,A226320,21929315,711606271750
KOSEF 200,A069660,24700000,709878000000
NICE평가정보,A030190,60714820,695184689000
필룩스,A033180,57643122,694599620100
실리콘웍스,A108320,16264300,692859180000
제일약품,A271980,14704872,692599471200
한국콜마홀딩스,A024720,17938966,692444087600
KODEX 종합채권(AA-이상)액티브,A273130,6591000,691198170000
에코프로,A086520,22090191,688109449650
에이치엘비생명과학,A067630,36298625,687858943750
텔콘RF제약,A200230,82330083,686632892220
LG상사,A001120,38760000,684114000000
화승엔터프라이즈,A241590,60536670,684064371000
동아쏘시오홀딩스,A000640,6138294,681350634000
QV 코스피 변동성 매칭형 양매도 ETN,Q550057,70000000,680750000000
아미코젠,A092040,19191510,680339029500
진에어,A272450,30000000,676500000000
한일현대시멘트,A006390,16758544,671179687200
매일유업,A267980,7843638,669846685200
한국단자,A025540,10415000,666560000000
에스티큐브,A052020,26710641,665094960900
삼양사,A145990,10289803,663692293500
한국토지신탁,A034830,252489230,656471998000
한화손해보험,A000370,116738915,654905313150
유안타증권,A003470,199596576,651682820640
롯데정보통신,A286940,14286000,650013000000
HANARO 200,A293180,22850000,649739750000
와이지엔터테인먼트,A122870,18185709,649229811300
인트론바이오,A048530,30010745,646731554750
녹십자셀,A031390,11957796,645720984000
세방전지,A004490,14000000,639800000000
TIGER MSCI Korea TR,A310970,59000000,635725000000
RFHIC,A218410,22477756,623757729000
삼성화재우,A000815,3192000,620844000000
KODEX 코스피,A226490,27900000,620635500000
일양약품,A007570,19085664,616466947200
레고켐바이오,A141080,10589882,615272144200
메디포스트,A078160,7868421,611376311700
휴온스,A243070,8168085,607705524000
파트론,A091700,54156410,606551792000
SK디앤디,A210980,18990164,603887215200
씨젠,A096530,26234020,599447357000
비에이치,A090460,31379776,599353721600
파멥신,A208340,6873012,599326646400
삼양식품,A003230,7533015,596614788000
스카이라이프,A053210,47821966,595383476700
한일시멘트,A300720,4144970,594803195000
LG하우시스,A108670,8967670,593659754000
삼화콘덴서,A001820,10395000,592515000000
삼진제약,A005500,13900000,584495000000
대교,A019680,84702850,582755608000
대신증권,A003540,50773400,578816760000
알테오젠,A196170,12643230,576531288000
아주캐피탈,A033660,57545890,571430687700
신영증권,A001720,9386237,566928714800
디오,A039840,15171403,564376191600
셀리드,A299660,9441192,561750924000
씨에스윈드,A112610,17285715,556600023000
아프리카TV,A067160,11494767,555771984450
현대일렉트릭,A267260,20357135,555749785500
유진기업,A023410,77310863,555091996340
효성첨단소재,A298050,4479948,553273578000
S&T모티브,A064960,14623136,552754540800
아트라스BX,A023890,9150000,552660000000
DB하이텍,A000990,44398588,550542491200
고려제강,A002240,20000000,549000000000
대한해운,A005880,24426504,545932364400
SK디스커버리,A006120,19037855,544482653000
동진쎄미켐,A005290,51414494,542422911700
남해화학,A025860,49678843,539015446550
CMG제약,A058820,108887244,538991857800
안랩,A053800,10013855,534739857000
동국제약,A086450,8892000,533520000000
KODEX 인버스,A114800,77700000,527971500000
미래에셋대우2우B,A00680K,140000000,525700000000
우리종금,A010050,674203406,523856046462
TIGER 코스닥150,A232080,41480000,522855400000
서부T&D,A006730,51871207,521305630350
미래컴퍼니,A049950,7864540,517486732000
LG전자우,A066575,17185992,516439059600
젬백스,A082270,35485004,516306808200
녹십자랩셀,A144510,10554054,515565537900
KODEX 200선물인버스2X,A252670,70500000,506190000000
일동제약,A249420,21591413,500920781600
삼성 코스피 양매도 5% OTM ETN,Q530060,50000000,500500000000
인스코비,A006490,89723464,498862459840
신도리코,A029530,10080029,494929423900
동양,A001520,238684063,491689169780
아이리버,A060570,55558279,488912855200
케이엠더블유,A032500,18810000,486238500000
셀리버리,A268600,7612607,485684326600
에스모,A073070,87666769,485673900260
보령제약,A003850,44200000,481780000000
모토닉,A009680,33000000,480150000000
코웰패션,A033290,90500234,479651240200
한미반도체,A042700,57223890,475530525900
현대에이치씨엔,A126560,112876596,473517320220
한라홀딩스,A060980,10472070,473337564000
JW홀딩스,A096760,64520904,472293017280
한진,A002320,11974656,467011584000
모두투어,A080160,18900000,466830000000
유양디앤유,A011690,57138895,466824772150
효성화학,A298000,3190126,465758396000
송원산업,A004430,24000000,464400000000
휴온스글로벌,A084110,10404299,463511520450
E1,A017940,6860000,463050000000
화승인더,A006060,55320000,463028400000
부산가스,A015350,11000000,462000000000
금호산업,A002990,36035349,461252467200
남양유업,A003920,720000,457920000000
아세아시멘트,A183190,3895809,457757557500
올릭스,A226950,6503921,457225646300
덕산네오룩스,A213420,24010012,456190228000
코오롱,A002020,12626426,453288693400
이녹스첨단소재,A272290,8969506,452063102400
한독,A002390,13763533,451443882400
제일파마홀딩스,A002620,15973355,449649943250
동성제약,A002210,24756574,449331818100
SBS,A034120,18252582,447188259000
대아티아이,A045390,71151522,446831558160
메가스터디교육,A215200,11761880,445775252000
에스티팜,A237690,18656000,444945600000
네오팜,A092730,7461237,444689725200
코엔텍,A029960,50000000,444500000000
한솔제지,A213500,23800576,442690713600
강스템바이오텍,A217730,20824937,441488664400
현대리바트,A079430,20535282,438428270700
한국자산신탁,A123890,102739889,437158227695
하나제약,A293480,16200000,435780000000
한국쉘석유,A002960,1300000,435500000000
유나이티드제약,A033270,16207322,435166595700
AP시스템,A265520,14099511,430740061050
유니드,A014830,8889843,430712893350
위닉스,A044340,17873425,429855871250
넥슨지티,A041140,35373322,429785862300
신풍제약,A019170,52984990,428648569100
바이오솔루션,A086820,7982376,424662403200
엔에스쇼핑,A138250,33696000,424569600000
서울가스,A017390,5000000,422500000000
에이블씨엔씨,A078520,27033459,421721960400
무학,A033920,28500000,417525000000
테라젠이텍스,A066700,30935143,411437401900
CJ프레시웨이,A051500,11871586,408976137700
삼천리,A004690,4055025,405502500000
한화투자증권,A003530,172442511,405239900850
슈피겐코리아,A192440,6216363,404685231300
대화제약,A067080,18224974,403683174100
드림텍,A192650,27585500,402748300000
KG이니시스,A035600,27904434,401823849600
삼표시멘트,A038500,107357173,400442255290
JW생명과학,A234080,15834554,399822488500
농심홀딩스,A072710,4637790,397922382000
롯데손해보험,A000400,134280000,396126000000
광동제약,A009290,52420851,394204799520
톱텍,A108230,36796254,393719917800
모다이노칩,A080420,39860811,393027596460
신영증권우,A001725,7053763,392894599100
바이넥스,A053030,31741048,392001942800
무림P&P,A009580,62368324,391049391480
이지바이오,A035810,57927351,391009619250
풀무원,A017810,3809095,390432237500
티웨이항공,A091810,46974812,390360687720
에코마케팅,A230360,16198937,389584434850
동원개발,A013120,90808100,387750587000
마크로젠,A038290,10605454,384977980200
다우데이타,A032190,38300000,384915000000
효성중공업,A298040,9324548,383705150200
한국카본,A017960,43960757,382458585900
TIGER 단기채권액티브,A272580,7582000,380692220000
와이솔,A122990,24156941,380471820750
다원시스,A068240,26101057,379770379350
앱클론,A174900,7175000,378840000000
하나머티리얼즈,A166090,19627674,378814108200
세아홀딩스,A058650,4000000,378800000000
퍼시스,A016800,11500000,377775000000
원익QnC,A074600,26288000,375918400000
테스,A095610,19768226,375596294000
이연제약,A102460,16770000,373971000000
신세계푸드,A031440,3872480,371758080000
에이티젠,A182400,24814891,370982620450
환인제약,A016580,18600070,370141393000
펩트론,A087010,15326500,369368650000
한국정보통신,A025770,38812743,366780421350
파마리서치프로덕트,A214450,9466217,364449354500
바텍,A043150,14854256,363929272000
아이마켓코리아,A122900,35943340,363027734000
네패스,A033640,23059202,360876511300
일진다이아,A081000,11277975,359767402500
뉴트리바이오텍,A222040,20628000,358927200000
한세예스24홀딩스,A016450,40000000,358000000000
대한광통신,A010170,73741625,357278173125
주성엔지니어링,A036930,48249212,355596692440
미원에스씨,A268280,5221276,354002512800
에이치엘사이언스,A239610,5142148,352237138000
맵스리얼티1,A094800,92834331,351377942835
성우하이텍,A015750,80000000,350000000000
종근당홀딩스,A001630,5009861,349187311700
케이씨텍,A281820,19839340,348180417000
교보증권,A030610,36000000,348120000000
클래시스,A214150,61973077,347049231200
아세아제지,A002310,8956502,346168802300
대원제약,A003220,19662677,344096847500
피에스케이,A031980,20331604,342587527400
연우,A115960,12398000,342184800000
테고사이언스,A191420,8074634,340749554800
한화3우B,A00088K,22472000,340450800000
알보젠코리아,A002250,11857922,340322361400
아이센스,A099190,13737238,339996640500
태림포장,A011280,70805940,339160452600
뷰웍스,A100120,10001865,337562943750
SK증권,A001510,472590171,337429382094
신대양제지,A016590,4029782,337292753400
용평리조트,A070960,48133333,333563997690
율촌화학,A008730,24800000,333560000000
서진시스템,A178320,18100666,333052254400
한국전자금융,A063570,34645728,332945446080
유니테스트,A086390,21134126,332862484500
원익머트리얼즈,A104830,12608000,332851200000
조선내화,A000480,4000000,332400000000
신한 레버리지 WTI원유 선물 ETN(H),Q500019,24000000,332400000000
이베스트투자증권,A078020,40481190,332350569900
넥센,A005720,53543977,330366338090
ARIRANG 고배당주,A161510,25290000,330287400000
원익홀딩스,A030530,77237981,330192368775
아이디스,A143160,10716390,328993173000
한글과컴퓨터,A030520,23082211,328921506750
해태제과식품,A101530,29116822,327564247500
게임빌,A063080,6595192,327451282800
현대상사,A011760,13228966,326755460200
인터플렉스,A051370,23327472,326584608000
KODEX 선진국MSCI World,A251350,25200000,326214000000
나스미디어,A089600,8754691,325236770650
코스모신소재,A005070,19747965,322879227750
애경유화,A161000,32040000,322002000000
STX,A011810,19726902,321548502600
두산우,A000155,4411074,321126187200
쎌바이오텍,A049960,9400000,321010000000
클리오,A237880,16967895,320693215500
흥국화재,A000540,64242645,320570798550
대한제분,A001130,1690000,320255000000
한일홀딩스,A003300,5995844,318978900800
대상홀딩스,A084690,36212538,317583958260
도화엔지니어링,A002150,33720000,316630800000
서흥,A008490,11569113,316415240550
JTC,A950170,35005517,316099818510
광주신세계,A037710,1600000,315200000000
와이지-원,A019210,30506398,314215899400
디티알오토모티브,A007340,9994005,313312056750
성광벤드,A014620,28600000,310310000000
팜스코,A036580,36727943,309983838920
풍산홀딩스,A005810,7835167,309880854850
디피씨,A026890,41678175,309668840250
인바디,A041830,13683782,309253473200
국도화학,A007690,5810616,307962648000
SBS미디어홀딩스,A101060,139896190,307771618000
선진,A136490,23779604,305567911400
멀티캠퍼스,A067280,5926779,305229118500
코리아오토글라스,A152330,20000000,305000000000
대원강업,A000430,62000000,304420000000
HB테크놀러지,A078150,78990426,304113140100
파워로직스,A047310,34353030,303680785200
에이프로젠 KIC,A007460,103642175,303153361875
이리츠코크렙,A088260,63341590,302456092250
태광,A023160,26500000,302100000000
바디텍메드,A206640,23418328,302096431200
IHQ,A003560,146235748,301245640880
세종텔레콤,A036630,600326126,300163063000
KODEX 코스닥150선물인버스,A251340,44600000,299935000000
에이스침대,A003800,11090000,299430000000
네오위즈,A095660,21915008,299139859200
경방,A000050,27415270,298826443000
프로스테믹스,A203690,45374817,298566295860
엘비세미콘,A061970,43784592,296859533760
경동제약,A011040,26550000,296032500000
앤디포스,A238090,16538148,295205941800
루트로닉,A085370,25267586,294367376900
JW신약,A067290,41667166,293753520300
다나와,A119860,13074822,293529753900
포스코엠텍,A009520,41642703,293164629120
진흥기업,A002780,145471745,290943490000
제이준코스메틱,A025620,26524184,290439814800
현대차증권,A001500,29337111,288383801130
휴메딕스,A200670,9347753,288378180050
상아프론테크,A089980,14365821,287316420000
웹케시,A053580,6763655,287117154750
SBI핀테크솔루션즈,A950110,24656540,286015864000
인선이엔티,A060150,36599388,284377244760
KPX케미칼,A025000,4840000,283624000000
한국철강,A104700,46050000,282286500000
사조산업,A007160,5000000,282000000000
우리산업,A215360,9132163,281727228550
레이언스,A228850,16591014,281217687300
경농,A002100,21691750,280908162500
SK바이오랜드,A052260,15000000,279000000000
동화약품,A000020,27931470,278476755900
에이프로젠제약,A003060,107882194,278336060520
아세아,A002030,2191024,278260048000
유진테크,A084370,22916042,277284108200
씨티케이코스메틱스,A260930,10122151,275322507200
